,etp
5794,91.480457266431
17699,225.895266408614
18803,176.613823714565
20888,163.771119546955
2133,71.2731549845396
26891,196.21528795547
15117,174.932520266603
4541,32.7536335136191
27017,75.2997781455618
19855,128.84479787412
23092,131.72672820159
7252,43.5684293681274
25044,106.450680861712
22255,91.1921567997114
19904,122.140947516073
2556,106.020002581859
10065,73.5545368537632
6247,48.373623003972
14461,101.134979160478
2644,47.8636713852722
2150,104.298491577306
12024,92.1206743429934
22541,71.8246802652026
12131,86.3873401000175
16866,101.288202379344
17265,163.160276373554
14024,172.566284700306
3634,76.1801931806974
14366,108.589563016393
994,83.6613956740692
4518,46.0179571015384
22855,127.080792590626
6001,83.4237191678534
15588,150.222711002263
27505,92.5172613901902
12972,167.344148629736
5306,97.6442016603927
23767,113.787493449199
7900,51.355658087717
3631,53.9441129871711
27165,145.208246792525
9571,43.9911827167453
17515,96.603162404954
20655,91.7774319934752
14417,117.27659630189
14591,187.577214631418
20794,141.734330649162
20987,179.30088372562
27582,87.2376917616917
14545,108.666521928228
7156,42.2104092046397
8845,83.0756939618879
1833,84.6143062883984
15583,138.999583665818
27988,141.701990214924
16504,96.4196111473434
11261,46.898733055759
18849,195.842348015725
19205,120.129812812528
16900,115.522091502143
19338,98.8772108782689
1009,97.2508338666508
19045,82.949926435014
2458,90.1188423698416
14835,159.834793042036
9770,90.5024185629768
27060,129.59816610688
26076,197.314113041245
2957,39.5537020710484
19366,162.040759768983
5661,69.9670466567165
65,41.2551845113336
18294,73.8239839579398
817,101.649423384969
7053,76.2318223814897
19142,109.022920971141
296,57.5699403247412
11397,95.6643650798422
26506,190.488896668189
2515,52.1812533383595
13812,115.456296920315
25445,114.870467383918
5282,86.8364314412232
12569,93.5584174803951
15192,138.456848027988
17107,99.3360712185961
21336,163.376282648455
9551,106.508992924319
27091,93.8965778594676
27075,107.708565728086
10775,101.487579120692
2814,44.3572701678554
9592,50.2662379816962
12135,66.6813087450389
6555,68.861357567814
21149,71.8073571994441
7991,100.064813664643
4258,80.8085958496175
27969,186.597728384418
10747,45.3474474255473
5335,47.5636729159522
2372,56.3898630892752
17900,128.422029571012
15736,129.563665266211
10099,57.5871611996227
5220,92.0953406073718
25120,92.7296386551639
4442,87.5263267862441
24830,128.238223394963
7833,74.0429792947675
13502,98.2044430176938
23735,192.106013678834
26167,104.730075867307
11734,81.0946714899557
18094,158.568033703654
11419,49.6148543895839
10168,50.0092993791036
14165,103.145095678486
13381,117.731868074067
6173,32.7536335136191
11864,53.1627455753629
15772,125.811095049589
10208,70.4244904514322
17062,238.045361020852
7894,76.449884853391
27049,86.3846797796444
19461,202.419274732687
6515,103.568126040679
25779,122.385720233489
22534,155.343453571485
6279,67.1553613768
5473,104.288226795845
3737,43.9039175584594
11405,51.9811465896485
11259,79.9257948623864
24831,95.5532706061343
10956,103.029399163153
23936,147.724222895764
2053,99.6361929711623
14506,179.178601451825
14526,119.094551038074
10733,43.0201870866287
22896,111.76874738814
1432,46.133550358919
26093,119.863687484548
3525,107.040576493001
17271,110.751201783629
22920,134.371258624588
21743,206.784052598739
26722,188.760677014102
6350,86.8010078930979
16543,105.278769123314
12600,128.680026839984
205,108.67500310312
25540,141.701990214924
15102,93.6375105319586
12894,105.329661906433
9074,91.6499934525658
25187,118.694315144567
25318,199.328607896734
20810,113.520452725293
21955,115.161889268991
17218,243.86015750316
15535,123.694056459728
20639,128.373088148582
23935,128.415081666009
6774,40.4098606934127
25332,149.781074147559
22716,110.325381312344
18895,115.803525162162
11340,95.115746129567
9256,51.8499266418408
21449,116.191802711988
857,51.6783489425293
22049,92.8136888805872
10128,98.5284826030499
13386,93.0057917899686
21452,149.032585279849
16938,110.784849159424
2196,99.367798272165
18323,143.738656177669
18828,120.816889157559
19609,104.66563898117
13032,153.090584231035
3003,75.1767897935801
27578,96.9284296508235
22683,99.6006503111997
5679,84.04648526779
9956,60.1367349638355
145,91.8012925972184
7505,53.8593217373614
27324,131.073721390364
16718,112.69796860224
19414,166.442751701007
3038,93.6510208624378
26757,183.9803975103
19129,84.5729016828777
8035,48.0326969233106
8972,70.9226257451279
18841,120.595620218389
7692,141.796090256228
15649,154.50020012623
14688,148.982724450544
16466,149.094610914949
10047,80.2577572303364
16894,210.091741203487
19918,236.984272923157
2610,39.5258388602783
6158,89.7731886276902
13046,127.000962867385
13269,209.599813016212
17604,130.900922682861
1683,74.4865948987926
7483,50.0887101580134
16563,116.915747430102
21834,109.342001423609
25094,120.460688626917
26980,76.1971306020337
12031,45.0142166300261
3920,62.3469044443144
21626,129.232856553314
19597,136.610826773767
16561,112.039095336796
12169,90.7083016741414
19914,91.0580472042802
10892,72.209251109235
17838,98.2724613861928
15928,116.262710197083
23506,231.683846115593
21943,100.693840061384
2510,92.8175901308089
137,51.9494037652491
3690,50.1367027835858
18379,97.0064037233189
12589,152.633129631023
22045,96.8431472711666
9624,105.731081001021
20652,88.5846932357162
10447,50.3323084243032
3874,99.1719846582939
21923,154.657287298604
20440,74.2629645211793
24800,101.620096586751
14216,160.804123742917
6260,55.6528596960073
8790,42.4973810326661
10904,62.0766778919501
3849,70.4843595142959
3148,54.780865515868
8301,75.1452501645283
21179,165.776500793393
27235,92.3544664333081
23849,87.2841713333701
25772,127.454966748173
4222,78.7032509432174
5987,103.410872818362
