,Yobs,Yest,prec,et_obs,et_est,year,month
0,128.816273635061,120.84399425055479,127.23,128.816273635061,120.84399425055479,2015,1
1,98.4797150677072,96.7413564721779,136.22,98.4797150677072,96.7413564721779,2015,2
2,92.1702992073001,89.01881665175705,174.15,92.1702992073001,89.01881665175705,2015,3
3,71.1184962829623,69.1972282745962,63.37,71.1184962829623,69.1972282745962,2015,4
4,55.3567452467967,52.02924088826682,40.72,55.3567452467967,52.02924088826682,2015,5
5,46.4460420682185,44.72756418535549,24.6,46.4460420682185,44.72756418535549,2015,6
6,49.1807505154197,45.10787143353874,46.59,49.1807505154197,45.10787143353874,2015,7
7,62.5944321704709,56.401216761762065,25.11,62.5944321704709,56.401216761762065,2015,8
8,78.2968152801503,76.75898775312127,133.92,78.2968152801503,76.75898775312127,2015,9
9,97.1915427550758,91.10377393810829,84.51,97.1915427550758,91.10377393810829,2015,10
10,97.7115627127147,92.7019798563353,206.21,97.7115627127147,92.7019798563353,2015,11
11,114.381576704238,110.24019309135218,194.84,114.381576704238,110.24019309135218,2015,12
12,106.740762640578,100.20193524476305,182.76,106.740762640578,100.20193524476305,2016,1
13,108.478019256801,104.1626826255972,174.12,108.478019256801,104.1626826255972,2016,2
14,101.751252918857,94.81702490405631,169.66,101.751252918857,94.81702490405631,2016,3
15,90.9590320631435,80.10322563645218,9.62,90.9590320631435,80.10322563645218,2016,4
16,56.3744730880476,51.53695385596033,65.52,56.3744730880476,51.53695385596033,2016,5
17,32.9354171511265,35.952451798724354,136.79,32.9354171511265,35.952451798724354,2016,6
18,44.0144969937614,41.06179174299783,3.78,44.0144969937614,41.06179174299783,2016,7
19,56.3723809902936,50.298434753257446,40.12,56.3723809902936,50.298434753257446,2016,8
20,62.3959802132714,56.66088256875726,20.6,62.3959802132714,56.66088256875726,2016,9
21,84.4398715445496,78.72694137012148,101.75,84.4398715445496,78.72694137012148,2016,10
22,86.4576781524076,80.87390227436934,154.77,86.4576781524076,80.87390227436934,2016,11
23,113.459668542727,107.86582554030683,126.3,113.459668542727,107.86582554030683,2016,12
24,112.576047827595,105.89742927866811,300.4,112.576047827595,105.89742927866811,2017,1
25,104.120264949372,100.31233689949691,89.31,104.120264949372,100.31233689949691,2017,2
26,93.6606863456611,89.04656005639931,192.48,93.6606863456611,89.04656005639931,2017,3
27,70.4555790396097,66.66468262283436,125.5,70.4555790396097,66.66468262283436,2017,4
28,57.8273861153528,51.95723775980061,113.41,57.8273861153528,51.95723775980061,2017,5
29,45.022854759843,41.87969503740951,74.1,45.022854759843,41.87969503740951,2017,6
30,37.5931107365925,36.293672850784546,11.9,37.5931107365925,36.293672850784546,2017,7
31,49.0581646314124,44.62410419360703,61.93,49.0581646314124,44.62410419360703,2017,8
32,76.0119512095644,70.32836696347312,29.89,76.0119512095644,70.32836696347312,2017,9
33,99.0146018641825,91.46260957694068,90.56,99.0146018641825,91.46260957694068,2017,10
34,85.6813172421422,80.80662323578551,152.99,85.6813172421422,80.80662323578551,2017,11
35,109.093586742422,104.92718006474811,123.12,109.093586742422,104.92718006474811,2017,12
36,107.319100996683,101.13896904222761,193.56,107.319100996683,101.13896904222761,2018,1
37,90.0790477223066,88.62080528016519,98.29,90.0790477223066,88.62080528016519,2018,2
38,107.344954681636,100.88883302613489,138.49,107.344954681636,100.88883302613489,2018,3
39,75.5565482762813,70.35075288102627,58.23,75.5565482762813,70.35075288102627,2018,4
40,60.3100600698858,52.77223057519928,21.56,60.3100600698858,52.77223057519928,2018,5
41,53.8097899547412,48.85103782026823,30.64,53.8097899547412,48.85103782026823,2018,6
42,55.1631193983173,48.06216292745334,17.59,55.1631193983173,48.06216292745334,2018,7
43,48.9093064937271,46.271468916393395,46.08,48.9093064937271,46.271468916393395,2018,8
44,68.4623218499044,62.969441291740544,64.55,68.4623218499044,62.969441291740544,2018,9
45,80.3983520917171,75.75238273688453,155.13,80.3983520917171,75.75238273688453,2018,10
46,88.9161239384475,83.98948308317668,135.35,88.9161239384475,83.98948308317668,2018,11
47,116.2088357293,109.71713257407326,116.55,116.2088357293,109.71713257407326,2018,12
48,135.864248369019,125.61522308904696,196.69,135.864248369019,125.61522308904696,2019,1
49,99.9588973848606,98.54223833872753,243.58,99.9588973848606,98.54223833872753,2019,2
50,97.8771056753582,93.32460953589805,195.54,97.8771056753582,93.32460953589805,2019,3
51,82.6865657477309,78.790464908668,93.23,82.6865657477309,78.790464908668,2019,4
52,66.7428121183546,61.613962503388265,88.87,66.7428121183546,61.613962503388265,2019,5
53,48.7624413846056,45.18895023843189,37.21,48.7624413846056,45.18895023843189,2019,6
54,39.7004559248521,39.54908805818875,79.12,39.7004559248521,39.54908805818875,2019,7
55,48.4094769099064,46.70821188572818,31.75,48.4094769099064,46.70821188572818,2019,8
56,71.2609572305208,67.10964325803353,68.08,71.2609572305208,67.10964325803353,2019,9
57,96.1396977142441,88.12298618582301,42.83,96.1396977142441,88.12298618582301,2019,10
58,92.2224366411105,88.04259947647186,168.75,92.2224366411105,88.04259947647186,2019,11
59,109.070522572824,106.36702303479748,125.35,109.070522572824,106.36702303479748,2019,12
60,109.343647894194,102.29752384714557,171.46,109.343647894194,102.29752384714557,2020,1
61,92.1561036089029,90.86626145835902,290.17,92.1561036089029,90.86626145835902,2020,2
62,86.5055603823342,83.00790103087743,104.5,86.5055603823342,83.00790103087743,2020,3
63,65.6160272911388,60.91441396964504,23.49,65.6160272911388,60.91441396964504,2020,4
64,49.0238757395229,46.096576246513365,33.14,49.0238757395229,46.096576246513365,2020,5
65,54.9151211967582,49.20673971630906,98.77,54.9151211967582,49.20673971630906,2020,6
66,50.4488966631693,44.59984762241444,25.71,50.4488966631693,44.59984762241444,2020,7
67,52.8211265031622,48.611269442437575,47.27,52.8211265031622,48.611269442437575,2020,8
68,87.7975711014345,78.3169700250811,23.89,87.7975711014345,78.3169700250811,2020,9
69,95.4494326727238,87.63746966185677,78.94,95.4494326727238,87.63746966185677,2020,10
70,87.8637507119135,81.99500730951773,86.55,87.8637507119135,81.99500730951773,2020,11
71,113.605273806044,109.82045745850449,221.56,113.605273806044,109.82045745850449,2020,12
72,118.231798752777,110.66828759954136,131.84,118.231798752777,110.66828759954136,2021,1
73,96.5870566943443,93.85529266454112,152.41,96.5870566943443,93.85529266454112,2021,2
74,105.672310312399,99.08530619337964,120.34,105.672310312399,99.08530619337964,2021,3
75,68.9702725033577,64.33576492721146,35.14,68.9702725033577,64.33576492721146,2021,4
76,57.48039004939,51.642902595674556,36.51,57.48039004939,51.642902595674556,2021,5
77,47.4776879395496,43.88585780783861,19.41,47.4776879395496,43.88585780783861,2021,6
78,38.5320838294895,36.56475229025501,25.1,38.5320838294895,36.56475229025501,2021,7
79,59.0389783774517,51.88059935897442,31.99,59.0389783774517,51.88059935897442,2021,8
80,81.7562366800836,73.32390005195815,22.43,81.7562366800836,73.32390005195815,2021,9
81,76.9914776236275,72.13430615809892,144.96,76.9914776236275,72.13430615809892,2021,10
82,88.0636429923493,80.95551672617613,65.57,88.0636429923493,80.95551672617613,2021,11
83,101.743590734791,98.25455874651747,145.97,101.743590734791,98.25455874651747,2021,12
84,116.854570833471,111.41042384169006,125.94,116.854570833471,111.41042384169006,2015,1
85,90.2097122647187,88.98287345131479,158.49,90.2097122647187,88.98287345131479,2015,2
86,85.2856796319823,84.17788095090043,161.62,85.2856796319823,84.17788095090043,2015,3
87,68.0151863193009,64.99965193725104,59.85,68.0151863193009,64.99965193725104,2015,4
88,51.2941884864933,48.907306940826786,48.54,51.2941884864933,48.907306940826786,2015,5
89,42.6664683316445,41.38678491978464,19.3,42.6664683316445,41.38678491978464,2015,6
90,46.9963813707656,40.23016298976074,29.72,46.9963813707656,40.23016298976074,2015,7
91,60.5365259786967,52.503302931429154,22.67,60.5365259786967,52.503302931429154,2015,8
92,78.4527637892675,78.34459158088795,132.88,78.4527637892675,78.34459158088795,2015,9
93,101.764535265002,96.00690725167013,75.49,101.764535265002,96.00690725167013,2015,10
94,98.5994140879637,93.07639130441433,189.2,98.5994140879637,93.07639130441433,2015,11
95,106.500714959478,104.22375075902337,222.57,106.500714959478,104.22375075902337,2015,12
96,101.23266417752,95.66983186775774,225.19,101.23266417752,95.66983186775774,2016,1
97,100.618416726245,95.84266510643593,185.81,100.618416726245,95.84266510643593,2016,2
98,96.265368940857,89.7129352431464,180.71,96.265368940857,89.7129352431464,2016,3
99,83.0130234831348,72.99619694554623,14.07,83.0130234831348,72.99619694554623,2016,4
100,51.7409229903199,46.56148740435686,66.08,51.7409229903199,46.56148740435686,2016,5
101,32.8936977426593,35.43015548589277,129.56,32.8936977426593,35.43015548589277,2016,6
102,41.1233168577982,37.04727845810377,2.61,41.1233168577982,37.04727845810377,2016,7
103,53.7906689668499,48.65885854762232,43.87,53.7906689668499,48.65885854762232,2016,8
104,64.8379529618125,57.44966205727226,17.75,64.8379529618125,57.44966205727226,2016,9
105,84.9470106122487,79.10250396863944,110.25,84.9470106122487,79.10250396863944,2016,10
106,85.1729924050419,79.73271778448607,157.09,85.1729924050419,79.73271778448607,2016,11
107,106.835037723273,101.02187056108875,128.95,106.835037723273,101.02187056108875,2016,12
108,103.495940699073,97.73161299308522,289.17,103.495940699073,97.73161299308522,2017,1
