,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)","[0.93729769 0.93920286 0.93950384 0.94109993 0.93598717 0.94296142
 0.93707813 0.93587443 0.94120688 0.94276226]",0.9392974615687273,"(('temp',),)",0.0018785722481960182,0.0025293382140965143,0.0008431127380321713
2,"(4, 5)","[0.94828407 0.95084214 0.9495966  0.95104255 0.94831025 0.95246922
 0.94898531 0.9492081  0.95107415 0.95392505]",0.9503737426581852,"(('prec',), ('temp',))",0.0013008134139152825,0.0017514349423530698,0.0005838116474510233
3,"(3, 4, 5)","[0.95436226 0.9566481  0.95617847 0.95604807 0.95378642 0.95716921
 0.95467709 0.95546307 0.95640938 0.9580743 ]",0.9558816381849237,"('month', ('prec',), ('temp',))",0.0009327466668695535,0.0012558642824889324,0.00041862142749631075
4,"(0, 3, 4, 5)","[0.95933735 0.96016068 0.95922741 0.9597595  0.9580685  0.96068367
 0.95880543 0.95882057 0.96088592 0.96109168]",0.9596840735674533,"('lon', 'month', ('prec',), ('temp',))",0.0007090607867383612,0.0009546902152615741,0.000318230071753858
5,"(0, 1, 3, 4, 5)","[0.95994284 0.9606141  0.9596497  0.9596745  0.95878878 0.96085075
 0.95939281 0.95945076 0.96117888 0.96157677]",0.9601119875198296,"('lon', 'lat', 'month', ('prec',), ('temp',))",0.0006311223964682306,0.0008497527825678279,0.00028325092752260925
6,"(0, 1, 2, 3, 4, 5)","[0.96033284 0.96151351 0.96013165 0.96015689 0.95948205 0.96127836
 0.95959654 0.95981777 0.9616081  0.96174808]",0.9605665781781042,"('lon', 'lat', 'year', 'month', ('prec',), ('temp',))",0.0006202238391875436,0.0008350787994750652,0.00027835959982502173
