,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)","[0.93743517 0.94060352 0.93833621 0.93771182 0.93771591 0.94004526
 0.93833413 0.93642427 0.93523466 0.94107282]",0.9382913775169186,"(('temp',),)",0.001294796335370615,0.0017433334563895341,0.0005811111521298447
2,"(4, 5)","[0.94811619 0.95062983 0.94987252 0.94797765 0.95166055 0.95276873
 0.95138351 0.94750501 0.94812107 0.95114843]",0.949918348657748,"(('prec',), ('temp',))",0.001316019069893292,0.0017719080685650204,0.0005906360228550068
3,"(3, 4, 5)","[0.95439114 0.95532901 0.95550509 0.95241199 0.95673136 0.95649944
 0.95717286 0.95286772 0.95350861 0.95665262]",0.9551069837449161,"('month', ('prec',), ('temp',))",0.0012155712394377345,0.001636663583643928,0.0005455545278813093
4,"(0, 3, 4, 5)","[0.95789652 0.95920217 0.95944182 0.95600666 0.96039981 0.96077028
 0.96136045 0.95694943 0.95765401 0.95953457]",0.9589215716059158,"('lon', 'month', ('prec',), ('temp',))",0.001227606532815796,0.0016528680854874032,0.000550956028495801
5,"(0, 1, 3, 4, 5)","[0.95848235 0.95934485 0.96001928 0.95617381 0.96098333 0.96110428
 0.96145588 0.95756722 0.95830166 0.96000539]",0.9593438049641219,"('lon', 'lat', 'month', ('prec',), ('temp',))",0.0012016218910724293,0.0016178819690874512,0.0005392939896958171
6,"(0, 1, 2, 3, 4, 5)","[0.95921896 0.9597353  0.96042463 0.9564327  0.96171704 0.96146342
 0.96192973 0.95824014 0.95853571 0.96030405]",0.9598001694501864,"('lon', 'lat', 'year', 'month', ('prec',), ('temp',))",0.0012279294965303277,0.0016533029287390888,0.0005511009762463628
