,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)","[0.93759888 0.94317595 0.94485987 0.9384219  0.94075875 0.93970371
 0.93584048 0.93289794 0.93831565 0.93825424]",0.9389827372057582,"(('temp',),)",0.0024169755796456314,0.0032542526389423574,0.0010847508796474523
2,"(4, 5)","[0.9501466  0.95384513 0.95407518 0.94981769 0.95073992 0.95229394
 0.94690284 0.94627905 0.94882298 0.94984974]",0.9502773067552708,"(('prec',), ('temp',))",0.001839370484809067,0.0024765563643221427,0.0008255187881073808
3,"(3, 4, 5)","[0.95395722 0.95845447 0.95855885 0.95545508 0.95613209 0.95649436
 0.95228648 0.95204955 0.95392139 0.95491108]",0.9552220585228381,"('month', ('prec',), ('temp',))",0.001595615377995624,0.002148360785399651,0.0007161202617998836
4,"(0, 3, 4, 5)","[0.95864255 0.96177328 0.96251959 0.95894177 0.95978117 0.95908911
 0.9570064  0.95559117 0.95865099 0.9585837 ]",0.9590579731659403,"('lon', 'month', ('prec',), ('temp',))",0.0014225228886102848,0.0019153064280834182,0.0006384354760278061
5,"(0, 1, 3, 4, 5)","[0.95913303 0.96238457 0.96285553 0.95946963 0.96015786 0.95912208
 0.95780792 0.95608544 0.95884569 0.95930891]",0.9595170655955512,"('lon', 'lat', 'month', ('prec',), ('temp',))",0.0013949485610596506,0.0018781799345621763,0.0006260599781873922
6,"(0, 1, 2, 3, 4, 5)","[0.95931041 0.96249943 0.96316239 0.96000394 0.96029578 0.95941303
 0.95857605 0.9564566  0.9595753  0.95993375]",0.9599226672876018,"('lon', 'lat', 'year', 'month', ('prec',), ('temp',))",0.001325771878642599,0.0017850393984290092,0.0005950131328096697
