,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)","[0.93894368 0.93728197 0.94008728 0.93643714 0.93950239 0.93898069
 0.93610631 0.94163484 0.93743588 0.93521183]",0.9381622011305781,"(('temp',),)",0.0014102043113060092,0.0018987205084580608,0.0006329068361526868
2,"(4, 5)","[0.94975523 0.94889809 0.95277859 0.95102776 0.95227762 0.9483281
 0.94624405 0.95183555 0.9499058  0.94915296]",0.9500203750129981,"(('prec',), ('temp',))",0.0014137406398081612,0.0019034818748769897,0.0006344939582923298
3,"(3, 4, 5)","[0.95517135 0.95410181 0.95882091 0.95582253 0.95787084 0.9540744
 0.95081496 0.95709219 0.95594087 0.95337589]",0.9553085754798332,"('month', ('prec',), ('temp',))",0.0016553178835315597,0.002228745145849116,0.000742915048616372
4,"(0, 3, 4, 5)","[0.96011681 0.95880012 0.9616577  0.96141863 0.96198566 0.95805379
 0.95390922 0.96025129 0.95972186 0.95711058]",0.9593025671397009,"('lon', 'month', ('prec',), ('temp',))",0.0017365373218362322,0.0023381002314619994,0.0007793667438206665
5,"(0, 1, 3, 4, 5)","[0.96049681 0.95957228 0.96210791 0.96168293 0.96235856 0.95822996
 0.95467229 0.96076712 0.95984707 0.95743624]",0.9597171171872365,"('lon', 'lat', 'month', ('prec',), ('temp',))",0.001680078560890984,0.002262083298008155,0.0007540277660027183
6,"(0, 1, 2, 3, 4, 5)","[0.96078151 0.96050742 0.96239014 0.96212765 0.96281683 0.95883581
 0.95502894 0.9611078  0.96034984 0.95768777]",0.9601633719994744,"('lon', 'lat', 'year', 'month', ('prec',), ('temp',))",0.0016861104099939693,0.002270204671275803,0.0007567348904252676
