,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_max_iter,param_learning_rate_init,param_learning_rate,param_hidden_layer_sizes,param_alpha,param_activation,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,26.561343145370483,0.7764748656371971,0.004293704032897949,0.0018106911341108675,sgd,555,0.138,invscaling,"(10, 5, 10)",0.20400000000000001,tanh,"{'solver': 'sgd', 'max_iter': 555, 'learning_rate_init': 0.138, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (10, 5, 10), 'alpha': 0.20400000000000001, 'activation': 'tanh'}",-0.11383856086970301,-0.0029123893076032914,-0.0035267738977917684,-0.00010078444428329725,-0.00046252405226354654,-0.0018065414000258961,-0.0012346929375723903,-0.00012507864937871815,-0.002168881634334152,-3.4762709693469445,-0.3602447196539901,1.0392154320381175,17,-0.1340603705222121,-2.3520270795440723e-06,-4.0768507902910756e-07,-2.3408208127406738e-07,-4.894916627584678e-08,-6.0180307352997175e-06,-1.3249609631671433e-08,-8.173118808407764e-07,-1.8308578675352294e-06,-3.5702716559049614,-0.37043437486206726,1.067361026979831
1,6.325764393806457,0.9147679331320296,0.006452083587646484,0.0036969709005174414,sgd,1140,0.14300000000000002,adaptive,"(10, 10)",0.001,logistic,"{'solver': 'sgd', 'max_iter': 1140, 'learning_rate_init': 0.14300000000000002, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (10, 10), 'alpha': 0.001, 'activation': 'logistic'}",-0.0006481725039764186,-0.003131510324538178,-0.003610598376135199,-0.00011804840798679272,-0.00046054712699294953,-0.002008739940390525,-0.001247499045303524,-0.0001032807033671812,-0.0020657482057153675,-0.0010008531452585512,-0.0014394997779664687,0.0011678325095721776,14,-8.686045771533202e-08,-2.2392549992034105e-07,-3.923032121377901e-09,-1.0342564848997426e-07,-3.063806208736253e-08,-3.66742407553744e-08,-4.587660917820813e-09,-1.424474671551934e-08,-4.486562965588803e-08,-1.0821479290434866e-07,-6.57359771283339e-08,6.435716979358955e-08
2,4.32459979057312,0.3526308555787844,0.004280257225036621,0.0025500682853766363,sgd,130,0.23600000000000002,adaptive,"(5, 5)",0.293,logistic,"{'solver': 'sgd', 'max_iter': 130, 'learning_rate_init': 0.23600000000000002, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (5, 5), 'alpha': 0.293, 'activation': 'logistic'}",-0.000704963020056848,-0.0030882243139565,-0.00361036274248705,-0.00011031786251280984,-0.00046043151082830747,-1518.971290604206,-0.0012548053109402435,-9.523311740111673e-05,-0.002056523784729647,-0.0010666139141319864,-151.89837380797832,455.69097226683874,18,-6.499272575677395e-07,-6.8081524862151355e-09,-3.679871074524499e-09,-8.072651436208389e-10,-2.9698288939172812e-08,-1445.7611122449564,-2.945568700063461e-08,-2.741340521250635e-07,-1.1824197398979663e-08,-1.8181072571898937e-06,-144.57611150693984,433.7283335793389
3,5.712015962600708,3.4868810919060946,0.004393172264099121,0.0037080077780066033,lbfgs,1322,0.038,invscaling,"(10, 5, 10)",0.092,identity,"{'solver': 'lbfgs', 'max_iter': 1322, 'learning_rate_init': 0.038, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (10, 5, 10), 'alpha': 0.092, 'activation': 'identity'}",0.958026787150368,0.9565798148582721,0.9546907309447833,0.9365025197086594,0.9432275269507615,0.9526199768202228,0.9589059205332522,0.9597328248166824,0.9527950396364002,0.9551456889836014,0.9528226830403004,0.007023511528864606,2,0.9538609157657625,0.9536735108161115,0.954089495929265,0.9560362383109526,0.955329523847473,0.9544253263385211,0.9536976379175374,0.953626526208266,0.9465411759350578,0.9542193931166119,0.9535499744185559,0.0024518690173183076
4,0.6127799272537231,0.07601418179084962,0.009139132499694825,0.0025063929138744914,lbfgs,433,0.266,constant,"(50, 10, 50)",0.036000000000000004,tanh,"{'solver': 'lbfgs', 'max_iter': 433, 'learning_rate_init': 0.266, 'learning_rate': 'constant', 'hidden_layer_sizes': (50, 10, 50), 'alpha': 0.036000000000000004, 'activation': 'tanh'}",-0.000663121450796611,-0.0030792174464460143,-0.0036031180996016765,-0.00011101315134620648,-0.00045307911517644683,-0.002026414198932125,-0.0012427742627154625,-0.0001056961243055543,-0.0020468296147020393,-0.000980023771318228,-0.0014311287235340363,0.0011598298435626492,13,-7.813971691916777e-12,-5.215827769688985e-13,-1.596500709410975e-13,-1.0114131754335176e-12,-1.729727472365994e-13,-4.156675004196586e-13,-1.4765966227514582e-13,-8.821832153671494e-13,-3.6859404417555197e-13,-7.707168236947837e-13,-1.2264411708429178e-12,2.215167784430158e-12
5,1.13827805519104,0.24313030348503176,0.005632162094116211,0.004529409613141963,adam,938,0.08600000000000001,constant,"(10, 5, 10)",0.24000000000000002,tanh,"{'solver': 'adam', 'max_iter': 938, 'learning_rate_init': 0.08600000000000001, 'learning_rate': 'constant', 'hidden_layer_sizes': (10, 5, 10), 'alpha': 0.24000000000000002, 'activation': 'tanh'}",-0.0010440550562857975,-0.003468046447022699,-0.0031680465505583566,-8.892128758208884e-06,-0.0003075820513551708,-0.0012989708977435566,-0.001631692501352422,-2.7936252023463837e-05,-0.0013733853630493176,-0.0008969308152859679,-0.001322553806343496,0.0011312963641981538,9,-4.374940222073853e-05,-1.1718791346426727e-05,-1.397013753479115e-05,-5.426238543271289e-05,-1.4168243838819095e-05,-7.682511940165782e-05,-2.6752359020054683e-05,-2.507383018457432e-05,-6.944153408028342e-05,-1.8303986610845868e-06,-3.377922017211432e-05,2.4603363833061973e-05
6,6.203623485565186,12.742422494007561,0.005717086791992188,0.002978033591446802,lbfgs,1706,0.092,adaptive,"(10, 10, 10)",0.211,logistic,"{'solver': 'lbfgs', 'max_iter': 1706, 'learning_rate_init': 0.092, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (10, 10, 10), 'alpha': 0.211, 'activation': 'logistic'}",-0.0006438535174011495,-0.003079678781065409,-0.0036961393960490696,-0.00011108474749721431,0.961586803486543,-0.0020283136472982743,-0.0012418303771368766,0.9638499525542876,-0.0020467011503917387,-0.000979813981376365,0.19116093404426146,0.38578041197118884,7,4.709183387685556e-08,-2.5130564296205193e-11,1.2130817815814154e-06,-1.865041454607308e-11,0.9713970668340309,-4.330600322788314e-10,-1.7123880091673982e-10,0.9585146200316146,-4.214406601477094e-12,-1.7788215345149183e-11,0.19299129463691783,0.3859930232806348
7,11.065307188034058,0.32202665367350725,0.017562055587768556,0.007859340460267431,sgd,151,0.124,adaptive,"(50, 10, 50)",0.126,tanh,"{'solver': 'sgd', 'max_iter': 151, 'learning_rate_init': 0.124, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (50, 10, 50), 'alpha': 0.126, 'activation': 'tanh'}",,,,,,,,,,,,,19,,,,,,,,,,,,
8,5.7923744201660154,3.2620450281133793,0.004342722892761231,0.00456268487711541,lbfgs,999,0.22,constant,"(10, 10, 10)",0.28700000000000003,identity,"{'solver': 'lbfgs', 'max_iter': 999, 'learning_rate_init': 0.22, 'learning_rate': 'constant', 'hidden_layer_sizes': (10, 10, 10), 'alpha': 0.28700000000000003, 'activation': 'identity'}",0.9571763572665867,0.9569710236223675,0.9548333067049322,0.9365492328263393,0.9432917781501918,0.9523380148640562,0.9589107118334214,0.9594620385325398,0.9578143468104637,0.9550204735147492,0.9532367284125647,0.007108317943825137,1,0.9535320216429023,0.953968798818788,0.9542467177786453,0.9560399887161857,0.95535924170149,0.9537351580178249,0.9536833224479458,0.9533187221660253,0.9540265640523125,0.9539025228020777,0.9541813058144198,0.0008127726489051844
9,7.339576506614685,0.3423037803264479,0.010201120376586914,0.007862963661720847,sgd,130,0.28600000000000003,constant,"(5, 10, 100)",0.19,identity,"{'solver': 'sgd', 'max_iter': 130, 'learning_rate_init': 0.28600000000000003, 'learning_rate': 'constant', 'hidden_layer_sizes': (5, 10, 100), 'alpha': 0.19, 'activation': 'identity'}",,,,,,,,,,,,,20,,,,,,,,,,,,
10,1.6988654851913452,0.6546055805956071,0.004734301567077636,0.003817452366315631,sgd,2009,0.20600000000000002,constant,"(5, 5)",0.089,tanh,"{'solver': 'sgd', 'max_iter': 2009, 'learning_rate_init': 0.20600000000000002, 'learning_rate': 'constant', 'hidden_layer_sizes': (5, 5), 'alpha': 0.089, 'activation': 'tanh'}",-0.010164433359400205,-0.008372012623878211,-0.0005631328029698235,-7.934645767093684e-06,-0.029416920359687238,-0.06306945000675901,-0.25328335406603375,-0.0013602778608570176,-0.043128680988192114,-0.2544895784999319,-0.06638557752134763,0.09577354628144034,16,-0.016285059807306546,-0.0013142552622260606,-0.0013155701341156512,-5.6660699718547036e-05,-0.022761659681170165,-0.08367162795249894,-0.2216643072106501,-0.002234272192643383,-0.06633153639400868,-0.2851612803709025,-0.07007962297052406,0.09671248569877611
11,1.5866005897521973,0.49686145772437157,0.005299067497253418,0.004374411449021624,adam,2029,0.18,invscaling,"(10, 10, 10)",0.089,logistic,"{'solver': 'adam', 'max_iter': 2029, 'learning_rate_init': 0.18, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (10, 10, 10), 'alpha': 0.089, 'activation': 'logistic'}",-0.00033654731453669484,-0.0032310558490369345,-0.00038414171717637835,-0.0023356808247108063,-0.0017858076393670874,-0.0018621608436839576,-0.000495255553139673,-0.0014378600648397022,-0.0009237193956903589,-0.001395026775124819,-0.0014187255977306413,0.0008830040395485623,11,-5.5760955554706726e-05,-1.8541212776224114e-06,-0.001632068933480335,-0.0032955599491506504,-0.0004436244252523647,-3.3082807351370036e-06,-0.00017097749480377011,-0.0007672052614806635,-0.00022866629366302682,-3.62869949148692e-05,-0.0006635312710313146,0.000999649710642467
12,17.944683027267455,7.046622434103642,0.00495452880859375,0.0024105742717687286,lbfgs,494,0.262,constant,"(50, 10, 50)",0.192,identity,"{'solver': 'lbfgs', 'max_iter': 494, 'learning_rate_init': 0.262, 'learning_rate': 'constant', 'hidden_layer_sizes': (50, 10, 50), 'alpha': 0.192, 'activation': 'identity'}",0.9579727774398077,0.9566673572831087,0.9526713788246134,0.9365001398896825,0.9417761800563003,0.9435119680251216,0.9589401410804759,0.9596525363610189,0.9576745688086259,0.9550766741454513,0.9520443721914205,0.007893679277675229,3,0.9538031319667114,0.9538022707793659,0.9509094677947505,0.9560212486045833,0.9552070395727564,0.9465450446735751,0.9537352792772639,0.9535395123948034,0.9538677061648408,0.9541356748023077,0.9531566376030958,0.0025289014696285948
13,1.7038110017776489,0.39157475025766203,0.00736086368560791,0.002653411274344578,adam,676,0.298,adaptive,"(10, 10)",0.117,identity,"{'solver': 'adam', 'max_iter': 676, 'learning_rate_init': 0.298, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (10, 10), 'alpha': 0.117, 'activation': 'identity'}",0.9476233817788918,0.9445743743026621,0.9473662203365822,0.9148118441217701,0.9320972461537678,0.9346094120755675,0.9512606754900595,0.949646495652776,0.9499568737016739,0.9475984426683473,0.94195449662821,0.010944359232936952,5,0.9445071078118072,0.9416996449731355,0.9454312745101763,0.9353009946782685,0.946801613058984,0.9377123380664417,0.941711916303865,0.945313832098388,0.9452236942205859,0.9437070342443813,0.9427409449966033,0.003512069239968795
14,0.9957252740859985,0.2184326533711551,0.00516049861907959,0.00427399649370466,adam,1383,0.17400000000000002,constant,"(10, 5, 10)",0.124,tanh,"{'solver': 'adam', 'max_iter': 1383, 'learning_rate_init': 0.17400000000000002, 'learning_rate': 'constant', 'hidden_layer_sizes': (10, 5, 10), 'alpha': 0.124, 'activation': 'tanh'}",-0.0033974142996755496,-0.0018097021993159768,-0.005677318547068433,-0.0002633227213912903,-0.0003791125989307531,-0.004937506609023812,-2.3354059819791217e-05,-0.00023310490983008414,-0.0058322579208813785,-0.001959148251833742,-0.0024512242117770812,0.002224068453680799,15,-0.0010760890984802263,-0.0001699624388342702,-0.00023446090024381583,-3.081440095464849e-05,-3.323381890796284e-06,-0.0006083515850452414,-0.0009364526854953592,-2.4970060479079237e-05,-0.0010046874660767369,-0.00016675155314982426,-0.0004255863570649998,0.0004142960008603583
15,0.5991140604019165,0.061074921034283795,0.008805990219116211,0.002050366115848171,lbfgs,413,0.121,adaptive,"(5, 10, 100)",0.056,logistic,"{'solver': 'lbfgs', 'max_iter': 413, 'learning_rate_init': 0.121, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (5, 10, 100), 'alpha': 0.056, 'activation': 'logistic'}",-0.0006630452657001573,-0.0030792275683666492,-0.003603242351295055,-0.00011101726795836875,-0.0004530283139978497,-0.0020263889063127927,-0.001242677181696683,-0.00010570756931738146,-0.002046772441830047,-0.0009800069664507305,-0.0014311113832925714,0.0011598600005246688,12,-3.5929037522919316e-12,-8.462119893692943e-13,-2.055910997000865e-12,-1.4306333895319767e-12,-2.6063595726100175e-12,-1.4788170688007085e-13,-1.0025313912365164e-12,-1.4566126083082054e-13,-1.5638601524869955e-12,-1.311839525897085e-12,-1.4703793738135573e-12,1.0142093536437512e-12
16,0.9231786727905273,0.2566170396596838,0.006549215316772461,0.0031762063658910215,adam,878,0.14200000000000002,constant,"(10, 10)",0.168,tanh,"{'solver': 'adam', 'max_iter': 878, 'learning_rate_init': 0.14200000000000002, 'learning_rate': 'constant', 'hidden_layer_sizes': (10, 10), 'alpha': 0.168, 'activation': 'tanh'}",-0.00025765759554108314,-0.0032742972161023953,-0.003072869876179052,-8.07711190211613e-05,-0.0012793670959672099,-0.0013076257116808598,-0.0023268501972746325,-3.3232097018887075e-05,-0.001403979327845084,-0.0008773945561644236,-0.001391404479279479,0.0011126265877214843,10,-9.564306704779035e-05,-3.0391861736145387e-06,-2.105913031513751e-05,-0.00036249299939616897,-0.00021153010295882346,-7.478642252900514e-05,-0.0001706233041078864,-2.0494309355134632e-05,-6.264948308509766e-05,-2.821710835654301e-06,-0.0001025139715804313,0.00010941370694378092
17,1.02319278717041,0.08159148934979742,0.003293561935424805,0.002955204231206989,lbfgs,211,0.245,adaptive,"(5, 5)",0.265,identity,"{'solver': 'lbfgs', 'max_iter': 211, 'learning_rate_init': 0.245, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (5, 5), 'alpha': 0.265, 'activation': 'identity'}",0.9503819178511003,0.9555147265258644,0.9535179495991167,0.909952797477037,0.9408814007141136,0.9465038762957847,0.9567828986987994,0.9597433893770275,0.951042043715151,0.9558494290803421,0.9480170429334336,0.01370768413259979,4,0.9475753277869141,0.9527897914804578,0.9526441334583,0.9466831011164691,0.955092689295677,0.9494599251457341,0.9500140090925508,0.9536389495969081,0.9463881291282622,0.9534795805893501,0.9507765636690623,0.003004115981100856
18,5.193527865409851,6.387663892208408,0.005234575271606446,0.003399749715622508,lbfgs,1060,0.148,constant,"(10, 10, 10)",0.225,tanh,"{'solver': 'lbfgs', 'max_iter': 1060, 'learning_rate_init': 0.148, 'learning_rate': 'constant', 'hidden_layer_sizes': (10, 10, 10), 'alpha': 0.225, 'activation': 'tanh'}",0.9538365282009095,-0.002909527665837741,-0.0037919099482799368,-0.00011125529416555757,-0.0004524315018410441,0.9280517765375618,-0.0012424336390961521,-0.00010544378288224188,0.9501912806759217,-0.0009719347671073297,0.28224946488151825,0.4332811614298078,6,0.9481129414177643,3.29655264503792e-05,1.0089722871198248e-05,-1.4898615674496796e-10,-2.4645796514732865e-10,0.928210424436442,-2.00379712822496e-11,-1.7546253339162377e-10,0.9446239810595704,-1.6877363062661743e-08,0.28209903846947904,0.430930218648407
19,1.3021267890930175,1.8702046685049747,0.00415334701538086,0.003623689379571717,lbfgs,231,0.108,constant,"(10, 10, 10)",0.063,logistic,"{'solver': 'lbfgs', 'max_iter': 231, 'learning_rate_init': 0.108, 'learning_rate': 'constant', 'hidden_layer_sizes': (10, 10, 10), 'alpha': 0.063, 'activation': 'logistic'}",-0.0006630710361223979,0.7513991638264899,-0.0036032798051637283,-0.00011102500260906645,-0.00045290935048014624,0.7878354089916368,-0.001243632609333467,-0.00010563329299517754,-0.002046745743196743,-0.000980159453109808,0.15300281165251162,0.30841645217587904,8,-1.934896687316723e-12,0.7434803872341671,6.219025294740277e-12,-2.4151791677695655e-12,-1.954725270536528e-11,0.787565569926181,-1.5948020681832986e-10,-1.601829779929176e-11,-2.211564265053312e-12,-1.8843060445306037e-10,0.15310459567765292,0.30636782483786407
