,Yobs,Yest_rf,Yest_sw,Yest_ann
3815,71.7104202551013,73.82591795868719,78.0258202671848,79.3950480086429
4864,106.266078925585,105.76192934983844,95.00795673305467,94.90314197442433
2556,116.59003682737,112.45824505081353,112.22412238875451,113.4847077017613
5155,58.3184820954095,56.91585265215098,60.222478902955245,59.33942771573322
9207,123.7321047218,121.95415255626403,114.59333451268554,114.42652696845573
4585,66.0273041097517,64.58104349842901,68.4659664178315,69.03296562462958
146,78.8401015869076,77.88465472810626,76.13247788331743,76.48276739411051
11843,87.2210127575133,86.2911947519349,90.53860205735583,90.50625044663605
4826,60.1733530724658,61.35018791790167,54.65675974404243,54.55118427718401
10720,76.6965621399024,78.17994786740782,78.20434225586949,76.90725139568315
11159,68.2068310896679,71.33527700599602,71.13603102440938,69.87794303844532
3532,80.1596028834647,75.20505939964059,81.35992280601135,80.99547055178357
9503,82.1468060832115,83.39930166324494,91.04302774677312,90.20851271679805
368,65.7275259047279,62.961507906247896,70.19360861699425,71.83567453782018
9410,60.6647391670039,60.16279593879717,62.9283226214812,61.491033769965384
11013,125.83003650514,122.23174323418245,113.81060550786968,113.95852753468955
2963,48.5146048806661,59.1029998100993,69.74701801439562,71.00685034742457
5570,58.2236526253419,57.00343611534463,60.25013963592609,59.15038787385049
6323,99.5696371986736,95.82258279022328,101.28225984327669,101.74465164686637
5891,45.1305992428773,45.69415964576946,44.63272082375935,45.51468628928308
5581,34.6897083524846,35.11449690328297,26.32955552019813,25.495167891549613
5127,58.3830856588904,58.07433071340243,55.81692550803647,54.81476161587727
6777,135.468907972157,133.16988541664375,119.69642923406612,120.52608385224823
6767,110.230104353615,108.15684766280705,104.411600201628,105.2403461065029
10892,94.5129580323103,97.00794667278338,92.56259413175006,92.0885725112372
813,96.5239749660182,95.60794155621404,96.20203973764816,97.6217916014167
10295,79.6622252239192,78.96757045034983,75.62679085001193,74.14221521572074
7383,43.7756468571117,42.72154268409732,33.0440718350994,32.5484037716011
4280,78.9723537628135,76.29361759411826,75.61377195767923,74.44033441636032
2305,81.2548136014172,80.46942409725365,82.84856255179177,82.87195910719822
7150,47.106012887507,49.81029929933107,54.20938105148698,54.90762805942279
516,38.4910381666828,40.74430006518819,37.94105034182413,37.93466488085062
6267,89.9797094460943,88.25737989793859,91.3422668380217,91.45971521759668
1167,82.4309372194879,82.75726461697015,86.26331941916453,87.11140893886125
3165,63.9353321628839,65.54748747569329,69.63147782467466,69.84530656890377
8440,58.9677548242608,59.50316523652599,59.776137476247634,59.99837157661443
2298,58.9887572851228,56.85979985375151,61.11673157292292,61.127728486260025
135,73.639476456618,73.66055405870088,75.93765489338342,76.17918533771365
12239,62.2073730832889,62.46960963200663,70.69172436460862,70.3312382615278
2422,106.668222673108,106.98237718180711,103.39043190876511,103.98476115456572
10048,102.90090997872,101.68643598901886,105.37809056723594,105.04532620908242
6207,86.2077923517586,87.40086152299703,95.39010553984184,95.28641284544676
8433,65.6247835376309,65.04275913330227,73.33440547701002,73.48731027539645
6265,103.198946903458,102.74728050957034,99.14593687519029,99.30012378966387
335,103.628238252087,103.75422406913536,102.16301651267372,103.59589496383444
7627,70.3496615115142,72.81590988982181,75.11791354673483,75.84417394180093
10124,67.1995352232465,66.70646167629242,69.1853674685549,69.27689031617149
12166,38.678498900106,36.632548507803335,32.11600938529507,31.553159185073696
4403,78.0410631906277,78.62422781927793,79.30412193546839,78.78396561356033
8775,75.1648526232894,76.98346442163593,85.6712650860407,85.67081475058524
11596,48.0983172329697,51.87360437514279,49.92007855693908,48.591934089808205
8486,85.5094282026262,86.85284543172574,90.94762103534056,91.29835250230792
7395,47.6282924549718,47.0098618221241,43.12142169102022,42.64893574550581
10566,38.8827283551687,38.77317995599319,37.118319658814215,37.30157876951864
8028,41.314336308746,43.149825594313015,42.144112220921855,42.73440792083841
3657,90.5871381422789,89.46249536360845,96.52764306530982,96.96619700558688
5037,58.9032110249234,61.95172558562081,66.46423592839558,67.52545364501259
10912,71.6705556051075,77.18026508563277,75.48305206425145,75.30907500586329
2779,78.3548045833833,80.39572696344923,83.03013162684505,83.11789979183243
618,105.022183100896,104.4262006767248,101.54562366676824,101.91199172654126
3518,49.1487238389444,46.084457281257436,47.10756471367102,46.84611697653065
2939,36.927593870824,38.32524007992161,35.64155280738474,36.88376366559953
1930,50.8692476772399,48.69005229481901,52.77623158276907,53.31833019622593
5393,48.1475730362597,50.392062993856285,53.853495170724294,54.36968452005942
8381,43.9519728424194,46.17707010412631,46.99303818449458,46.95924563410347
12145,86.8328913372189,85.13272431857308,91.45591178671293,90.53614999493504
4964,94.3101801060531,96.18667513237789,96.36251125889262,96.76415390857176
4838,91.4180634187964,91.31967332926023,90.31085751734348,90.09587684920473
9771,38.2848658860084,40.835712732692926,36.834313234922305,37.64960616440442
3436,56.3243292786684,56.503991231527465,57.70278857351624,56.91955466553293
5921,97.8873706232358,94.11228742663961,100.9395121427257,101.8114037474121
1091,78.0577677915743,81.6843486835094,81.9011477904115,82.39745274097334
2458,85.9108741003101,89.0039283641818,85.29448339427924,86.24675733679044
10447,59.9494234771646,57.44414997041741,61.62058502370608,60.94841592670457
11432,55.2693823892429,57.135868006100054,62.1138325550304,62.37013729956209
7849,57.8456534752067,56.384924962176775,57.98273302196179,57.437976819223536
3253,125.97959009772,123.5228370540901,113.91000475399991,114.42370949512599
9190,63.3385372704738,63.87315465758456,71.77249282300647,71.65040253742711
6856,105.880421791292,106.12261687663458,103.31078483502245,102.1436421410591
9981,58.2262556587435,54.10780743416212,54.996565720184,54.27452433515475
2336,71.9701410423223,71.36455496394932,75.22947907120451,75.51592975524102
12260,49.5634438805147,47.44343995438939,47.571846014243654,47.46525626820551
9729,98.6133624850964,98.79671352144095,96.183050867465,96.58890181405752
6192,73.9356167851731,72.26251201390845,71.2379094910729,71.14081595019081
7878,101.698634440064,98.5948137393364,96.2266949609712,95.682578464127
11785,43.310149556984,44.01882251742567,38.61421805115024,38.41923123889012
2768,84.7185906772986,81.04607370591043,87.72501060052781,87.81943720322317
2940,49.149391714241,47.26972547765857,53.34177880796743,54.50203444928013
12147,95.6303431109847,95.41976288293522,99.87505808484973,99.05674882232381
3611,63.7334420884903,63.861203885488266,63.66106927814103,63.859927977739176
10421,37.0604314470943,37.54864376029848,33.38720546691682,32.73358406705586
