,etp
11357,34.8804417013447
4772,82.1188727848529
7590,58.7298800987024
4488,99.9031509336956
617,33.7684747021104
9633,72.6240847438095
8060,59.7201613700016
7266,36.579371793203
8211,77.7214174937444
5969,51.1909636556411
3627,70.0412776348387
313,98.7762440215343
8040,101.441139036863
3920,62.3469044443144
2482,84.1646129350112
11959,43.9193186348263
7435,58.5081470119625
2545,91.5732706273142
1145,45.1047341246308
2430,40.5090693801834
10553,33.9936896655916
9877,88.2724987183197
8365,103.505201432818
2649,84.632530438656
8794,74.6405939010416
11167,44.2383302986014
6882,42.1873560390434
3867,71.8950391831752
4614,37.7576622896896
8429,51.0498427514335
7898,94.142114700393
7422,63.82316061842
11869,97.4787891528325
5197,92.8251866345405
2741,46.1569227497551
7076,53.4928223330451
1197,100.303444945211
7555,71.3867604197789
9576,97.7184628552338
7291,43.8176253755792
3338,86.4716614870758
246,44.8297377099599
544,60.8993806221562
2911,53.4693095694317
2973,82.927383597226
1946,97.4146867331766
9734,98.0274866184876
3628,47.233290991966
72,112.118098037219
4519,45.899755494111
5902,78.7066454070921
12077,43.6772506621617
4761,80.7899261664175
5309,43.8129454328324
116,48.3012420441645
2167,49.0644273979243
3931,67.2915238844226
11304,101.312300669535
1358,89.7032102445553
9557,42.0281300624995
5592,109.556558722131
50,101.305822876329
7691,122.517773851794
8048,60.9425040510891
6382,92.2079899452279
11542,98.7117976971583
1221,89.8710171641192
8974,89.2238302332641
4952,57.4456631700004
8845,83.0756939618879
9050,84.6580685241991
438,46.0106660862561
11564,54.3359891165971
4316,59.9269905302638
12169,90.7083016741414
8259,76.8085473902233
9826,86.2632841412616
7449,64.3562796021333
5022,35.5390086211214
5642,102.127263146585
11648,61.5200199239329
142,79.2177536120758
959,90.6398592557599
665,47.4450192055647
4530,47.7361893830577
7895,86.8722782965897
4233,82.3360653808119
11170,97.085944076361
5567,111.33508257465
6174,33.7816166289383
7511,123.860856190863
10516,44.4139196490245
10499,86.4914718535925
4611,67.367839006011
10278,44.7892189618012
10146,47.1831904935231
8584,46.7120789074792
6158,89.7731886276902
9874,83.286072086207
1646,85.3134512088021
11550,36.9386067887108
507,74.8403815598569
4253,39.5017436921832
7814,94.238854572738
3035,95.8301867920811
2124,121.59519926594
612,114.304043055465
3729,83.8898338479895
9999,77.4182665138261
6796,42.2998025147764
2459,94.1056630446882
2836,53.3876000769332
5157,99.0361621977773
1600,46.6521311879537
2414,93.8717246014703
11998,90.0033892531231
2562,34.433566056464
8288,51.977166891497
4080,100.030197292056
4864,47.817615998734
3821,41.7906905116705
11215,49.0947647475723
1504,49.2376705900642
4956,99.9865199020565
6367,56.3549758254572
4388,61.7509692161326
11315,89.5864375418912
6565,98.7710554554065
1242,45.4166805134331
3073,96.9541652751819
6933,85.6004186613217
7466,109.21281141501
11745,89.1027896695777
1156,58.43555571611
11079,75.9232949286301
4003,61.0545711556815
10458,38.9095851779839
1465,95.0561269494262
4379,89.1529891589563
9945,80.8433808322885
5604,119.157308769782
3463,44.9077695915478
2875,56.0905484830932
8695,43.8673638410621
2938,90.4652154143578
1220,73.3228542238349
7008,98.2235202995723
1447,48.5155190712697
