,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)","[0.93598217 0.93735413 0.93345904 0.93642607 0.93275652 0.93788335
 0.9445819  0.93466271 0.93931868 0.9420044 ]",0.9374428970374339,"(('temp',),)",0.0026177175324733687,0.0035245346538859603,0.0011748448846286535
2,"(1, 5)","[0.94825203 0.94939315 0.94634064 0.94917022 0.9463315  0.94877728
 0.95308671 0.94801943 0.95054218 0.95169864]",0.9491611772796495,"('lat', ('temp',))",0.0015230079851596742,0.0020506010886393897,0.0006835336962131298
3,"(1, 4, 5)","[0.95003447 0.95624673 0.95029176 0.9586818  0.95525298 0.95110503
 0.96118116 0.95450392 0.95397456 0.95982457]",0.9551096985573606,"('lat', ('prec',), ('temp',))",0.0027772814029800004,0.003739373873218162,0.0012464579577393874
4,"(1, 2, 4, 5)","[0.95256984 0.95711808 0.95160041 0.9601004  0.95563331 0.95321605
 0.96183393 0.95587625 0.95641565 0.96122667]",0.9565590584603061,"('lat', 'year', ('prec',), ('temp',))",0.002523980058661699,0.003398325095093422,0.0011327750316978073
5,"(1, 2, 3, 4, 5)","[0.95345981 0.95863727 0.95248962 0.96203165 0.95776569 0.95472778
 0.96226216 0.9576871  0.95850597 0.96250584]",0.9580072894045149,"('lat', 'year', 'month', ('prec',), ('temp',))",0.002542880726913788,0.0034237732419655355,0.0011412577473218452
6,"(0, 1, 2, 3, 4, 5)","[0.95475566 0.95975446 0.9543065  0.9629986  0.95866548 0.9557057
 0.9635001  0.95904506 0.95875078 0.96223905]",0.9589721392139051,"('lon', 'lat', 'year', 'month', ('prec',), ('temp',))",0.0023293779318674973,0.003136309835197136,0.0010454366117323786
