,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)","[0.9364288  0.93416315 0.93667497 0.93573266 0.93805514 0.93906595
 0.94140962 0.9326041  0.93598445 0.94219253]",0.937231136815235,"(('temp',),)",0.002122852209132738,0.0028582404645841296,0.0009527468215280432
2,"(1, 5)","[0.94654445 0.94659268 0.94997101 0.9478447  0.9479552  0.94973783
 0.9512893  0.94747861 0.95057401 0.95113456]",0.948912234444164,"('lat', ('temp',))",0.001291783844111682,0.0017392773923929708,0.0005797591307976569
3,"(1, 4, 5)","[0.95346832 0.94595967 0.95812075 0.95567103 0.9574346  0.94991641
 0.96005531 0.95595928 0.96023197 0.95359046]",0.9550407806458392,"('lat', ('prec',), ('temp',))",0.003167244289302701,0.004264425827649282,0.0014214752758830939
4,"(1, 3, 4, 5)","[0.95499124 0.94664125 0.95869092 0.95850958 0.95844193 0.95000823
 0.96190088 0.95841889 0.96220592 0.95567147]",0.9565480325963381,"('lat', 'month', ('prec',), ('temp',))",0.0034859796508393374,0.0046935759606253555,0.0015645253202084518
5,"(1, 2, 3, 4, 5)","[0.95547401 0.94990256 0.96001519 0.96019516 0.95981364 0.95240628
 0.96191492 0.95955296 0.9630323  0.9581251 ]",0.9580432107133394,"('lat', 'year', 'month', ('prec',), ('temp',))",0.002956587472411529,0.003980794289104815,0.001326931429701605
6,"(0, 1, 2, 3, 4, 5)","[0.95678675 0.95119654 0.96144398 0.962076   0.96064501 0.95290977
 0.96302477 0.96017769 0.96471542 0.95813942]",0.959111533584365,"('lon', 'lat', 'year', 'month', ('prec',), ('temp',))",0.0030792795560273343,0.004145988774413852,0.0013819962581379506
