,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)","[0.9352652  0.93012062 0.93450076 0.94180298 0.93908688 0.9411907
 0.93710796 0.94222397 0.9341211  0.93617444]",0.9371594609699427,"(('temp',),)",0.002754896277143172,0.003709234199718343,0.0012364113999061143
2,"(1, 5)","[0.94687124 0.94527334 0.94731048 0.95352011 0.9478062  0.95025316
 0.94947839 0.95407015 0.94769823 0.94975932]",0.9492040621015209,"('lat', ('temp',))",0.0019996927903742647,0.0026924167521392844,0.0008974722507130949
3,"(1, 4, 5)","[0.95211463 0.95191037 0.95049504 0.95748658 0.9566953  0.95749411
 0.95696462 0.95445972 0.95371372 0.95870331]",0.9550037397810758,"('lat', ('prec',), ('temp',))",0.0020062050963395336,0.0027011850198253753,0.0009003950066084583
4,"(1, 3, 4, 5)","[0.95376777 0.95349961 0.95140277 0.95802713 0.95781266 0.95963885
 0.95930313 0.95558728 0.95643411 0.95999892]",0.9565472215604744,"('lat', 'month', ('prec',), ('temp',))",0.0020645797299749242,0.002779781513375019,0.0009265938377916728
5,"(1, 2, 3, 4, 5)","[0.95587921 0.95483055 0.95297541 0.95990569 0.95990008 0.96058345
 0.95974792 0.95781504 0.95796491 0.96115319]",0.9580755442067741,"('lat', 'year', 'month', ('prec',), ('temp',))",0.0019178982932598072,0.0025822873986086578,0.0008607624662028858
6,"(0, 1, 2, 3, 4, 5)","[0.95681607 0.95594567 0.95392996 0.96107184 0.96086949 0.96081049
 0.96107694 0.95908885 0.95963839 0.96176454]",0.9591012248372748,"('lon', 'lat', 'year', 'month', ('prec',), ('temp',))",0.001866241790483841,0.0025127362985094717,0.0008375787661698238
