,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)","[0.93734223 0.9368411  0.93485223 0.94387282 0.93742471 0.934356
 0.93662828 0.93655845 0.94333009 0.93856449]",0.9379770390272816,"(('temp',),)",0.0022584682327850044,0.003040835939097762,0.001013611979699254
2,"(1, 5)","[0.94933587 0.9478014  0.94807653 0.95319255 0.94949528 0.94700944
 0.94948179 0.94904917 0.9563131  0.94842753]",0.9498182658464733,"('lat', ('temp',))",0.001986469295633687,0.002674612437930254,0.0008915374793100846
3,"(1, 4, 5)","[0.95309915 0.95222912 0.95578017 0.96036524 0.94905435 0.95430735
 0.95900832 0.95531044 0.959266   0.95650991]",0.95549300610531,"('lat', ('prec',), ('temp',))",0.0024714276426317985,0.0033275677237784933,0.0011091892412594976
4,"(1, 2, 4, 5)","[0.95599639 0.95399956 0.95714714 0.9604795  0.95084734 0.95623583
 0.95980778 0.95609137 0.96068612 0.95869065]",0.956998168217576,"('lat', 'year', ('prec',), ('temp',))",0.002174672911561416,0.002928012645590235,0.000976004215196745
5,"(1, 2, 3, 4, 5)","[0.95789841 0.95417921 0.95949267 0.96116787 0.95185129 0.95878365
 0.96078099 0.95729949 0.96177744 0.95989134]",0.958312234829896,"('lat', 'year', 'month', ('prec',), ('temp',))",0.002232946396585825,0.0030064729511134103,0.0010021576503711368
6,"(0, 1, 2, 3, 4, 5)","[0.95951823 0.95535156 0.9607934  0.96267756 0.95357686 0.95933249
 0.9614425  0.9581599  0.96190436 0.96068054]",0.9593437398454293,"('lon', 'lat', 'year', 'month', ('prec',), ('temp',))",0.0020554635174789906,0.002767507306377694,0.000922502435459231
