,r2,rmse,mape,rrmse,iter
0,0.9604298864998082,4.652366398002767,5.661827586951936,6.360482324202241,1
1,0.9608114615704149,4.591340091266876,5.5262093040228475,6.269113559818808,2
2,0.9588452978403527,4.720426232798045,5.65382472319316,6.4482620593295605,3
3,0.9602425863481499,4.590462163858038,5.525536609622509,6.249312176548335,4
4,0.9595990336772563,4.614951799724597,5.497024363334438,6.29262291905979,5
5,0.9595287266046509,4.651044105188918,5.474143637097437,6.33994966222144,6
6,0.9607772156561287,4.595572742853745,5.608930582221074,6.304533444603881,7
7,0.9591874410127847,4.736179438688407,5.690100788402006,6.433150391267781,8
8,0.9598192245222494,4.651445796064478,5.666336678672989,6.408143445333548,9
9,0.9592685899315081,4.694270560834408,5.516742427170101,6.395386939010006,10
10,0.9595515747829334,4.643379976307635,5.617408253461553,6.334660724497799,11
11,0.9620760002065118,4.5709042178326635,5.5539873056758,6.258143890533481,12
12,0.9574661030586519,4.7507732268139575,5.690142893931172,6.498016987789764,13
13,0.9614469690221228,4.628400285065644,5.656880604863167,6.336288718037121,14
14,0.9592193390306221,4.728607837539926,5.610902567397984,6.427399130328902,15
15,0.9603914073433408,4.624616156612613,5.457711762766017,6.276814027210491,16
16,0.9582740807148572,4.758618590317964,5.5851802163572755,6.475072070931503,17
17,0.9580474926837573,4.775698421796506,5.706562677711841,6.562580195150134,18
18,0.959601282584364,4.66095228356685,5.629946666381726,6.380709240651434,19
19,0.9593797923959585,4.637228285249174,5.455287179868485,6.293504897186958,20
20,0.9599372341288538,4.676354726113691,5.537005346010332,6.380252690549577,21
21,0.9583634421715153,4.736447317013315,5.774561516628697,6.4983300745502195,22
22,0.9568831273720475,4.811000630369558,5.6242764955841595,6.581865394039791,23
23,0.9597214516148492,4.663021025506482,5.7898464439390995,6.415277232434798,24
24,0.9603083477906323,4.63891017090891,5.6685967288579615,6.340580087924885,25
25,0.9591105640623728,4.689618248896744,5.427106632046571,6.408770666338927,26
26,0.9605947664100487,4.588987243906913,5.609442906972964,6.319568921205187,27
27,0.9589852235594061,4.666067977073052,5.469079839555832,6.414812858666021,28
28,0.9604416102625625,4.6374157868894565,5.569737932902212,6.365275584742959,29
