,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)","[0.93480367 0.94015042 0.9400904  0.9327821  0.93904819 0.93729231
 0.93834383 0.94012376 0.93978277 0.94163279]",0.9384050235822267,"(('temp',),)",0.0019281981349475582,0.00259615526193145,0.0008653850873104833
2,"(1, 5)","[0.9488123  0.95056497 0.95176104 0.94675445 0.95106727 0.94767163
 0.94729543 0.9509544  0.95286244 0.95020378]",0.9497947707866043,"('lat', ('temp',))",0.0014471379369254346,0.0019484485030848602,0.0006494828343616201
3,"(1, 4, 5)","[0.95696635 0.95842604 0.95966336 0.94836406 0.95228318 0.95632272
 0.955992   0.95826541 0.96020648 0.9491651 ]",0.9555654699234296,"('lat', ('prec',), ('temp',))",0.0029719701966440227,0.004001505822704611,0.0013338352742348703
4,"(1, 3, 4, 5)","[0.95846569 0.95997746 0.96113791 0.94918564 0.95426435 0.9592904
 0.95808912 0.9604865  0.96185984 0.94909788]",0.9571854793345234,"('lat', 'month', ('prec',), ('temp',))",0.0033297163195080063,0.004483180637380317,0.0014943935457934388
5,"(1, 2, 3, 4, 5)","[0.96005949 0.96109387 0.96229388 0.95101557 0.9565598  0.96010818
 0.95948928 0.9617805  0.96226344 0.9516849 ]",0.9586348909372692,"('lat', 'year', 'month', ('prec',), ('temp',))",0.0029530509489565787,0.003976032660198478,0.001325344220066159
6,"(0, 1, 2, 3, 4, 5)","[0.96094087 0.96164948 0.96396646 0.95210985 0.95745037 0.96142088
 0.96064473 0.96208549 0.9630101  0.95291055]",0.9596188775698418,"('lon', 'lat', 'year', 'month', ('prec',), ('temp',))",0.002902726646983891,0.003908275255499518,0.0013027584184998394
