,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)","[0.93485687 0.94063758 0.93845861 0.93838383 0.93861486 0.93897549
 0.93690083 0.93205253 0.93725389 0.94510406]",0.9381238560266556,"(('temp',),)",0.002417811670067482,0.0032553783637881578,0.0010851261212627193
2,"(1, 5)","[0.9491085  0.95150201 0.9516001  0.95065165 0.95023905 0.95075077
 0.94860853 0.94413252 0.94993775 0.95602784]",0.9502558710004317,"('lat', ('temp',))",0.002083625529931904,0.002805425067779427,0.0009351416892598089
3,"(1, 4, 5)","[0.95673573 0.95835621 0.95559468 0.95865921 0.9523746  0.95870345
 0.94960712 0.95250895 0.95703323 0.96178618]",0.9561359375014586,"('lat', ('prec',), ('temp',))",0.0025856647089331965,0.003481378245327438,0.001160459415109146
4,"(1, 3, 4, 5)","[0.95892123 0.95995629 0.9565163  0.96071755 0.95403981 0.96064854
 0.95086092 0.95460802 0.95751838 0.96373791]",0.9577524944421931,"('lat', 'month', ('prec',), ('temp',))",0.002698154845608354,0.0036328366742883916,0.0012109455580961305
5,"(1, 2, 3, 4, 5)","[0.96055465 0.9612663  0.95877488 0.96152948 0.95650607 0.96097385
 0.95380641 0.95551114 0.95946175 0.96476537]",0.9593149891434626,"('lat', 'year', 'month', ('prec',), ('temp',))",0.0022978984506588636,0.0030939253834639698,0.0010313084611546564
6,"(0, 1, 2, 3, 4, 5)","[0.96161355 0.96266505 0.95949074 0.96203353 0.95694506 0.96161498
 0.95465623 0.95698193 0.96131821 0.96560485]",0.9602924129576056,"('lon', 'lat', 'year', 'month', ('prec',), ('temp',))",0.0023012486238822146,0.003098436107587464,0.0010328120358624878
