,etp
2917,88.2553144019309
8447,105.929118446252
6247,80.8954312038515
12051,80.0695018061573
17809,84.159993716378
5358,44.2796668801597
17916,82.6331052236279
13256,131.644918861194
5258,103.614213313208
15419,128.870721813783
11519,111.524305821229
2070,71.587728022886
17282,93.9790929572889
6112,74.3217151629962
6559,75.96977683079
623,126.974257028485
5219,134.752556877191
12914,99.8269165866382
5049,128.524115084464
2460,100.453210787463
15326,98.8592352132648
3906,64.6470239757881
1089,154.433923552268
2681,62.6449265744271
1548,115.706160710313
2731,95.2769031733088
12378,62.4929396542342
7483,85.5731999598052
17996,83.5670079001149
15625,94.5397107528729
639,89.6154568422104
14432,112.769651909316
9947,117.684794885872
159,96.7854152608092
18128,108.401393938274
12548,96.4441612533694
8005,87.4685459704604
1165,122.923434674645
9770,111.341045949915
5593,106.408772854779
9688,61.6699086247251
3209,61.9651412284717
1198,139.944780677157
3978,77.5781944037442
18256,56.2695242065906
1626,81.9898491547139
17725,90.1035627216926
11693,56.5372063341972
14225,59.7357462045689
1365,128.981170473874
13992,115.023820125073
1383,94.7569441768738
6082,118.061461748466
13906,104.066984995609
5556,112.505142289423
14676,120.194625132811
244,81.8306328084458
11038,118.017460222345
9346,131.488936935387
3687,77.9460562476799
5120,128.02951625277
5865,125.945003159482
232,68.5668155597669
18624,98.6066636856827
5568,115.206034830043
12436,63.4119905882641
2732,160.801130009111
9631,91.7137109911836
7313,65.9581555539815
7856,116.143803508193
6091,83.3737082540006
8231,101.678590108005
17342,103.849977496515
10601,69.7291123843168
1622,114.225653883117
7473,122.933257195823
12301,85.422982002341
14593,100.595483687038
1010,109.966764061669
16010,89.7515599699727
11443,84.3228767321404
4163,103.914607712051
17729,55.2946707908955
16981,82.2853628261348
6482,101.560656543028
15750,69.2516688150028
2800,70.24015977049
13510,129.900045155069
16700,107.910397088239
17362,92.9480126099171
18643,69.2946890133755
608,160.307399637291
14477,53.6722799225788
15236,94.6089652825919
755,116.212765172926
81,169.129577811558
