,Yobs,Yest,prec,et_obs,et_est,year,month
0,154.050025184798,132.08021702045755,126.42,154.050025184798,132.08021702045755,2015,1
1,113.652797330661,104.53385848742936,219.28,113.652797330661,104.53385848742936,2015,2
2,110.835383887361,103.4711259641325,219.52,110.835383887361,103.4711259641325,2015,3
3,105.644867849606,95.39161080156214,68.37,105.644867849606,95.39161080156214,2015,4
4,72.6443523118067,68.92507720115101,57.67,72.6443523118067,68.92507720115101,2015,5
5,70.5511837273095,67.21017846932419,12.32,70.5511837273095,67.21017846932419,2015,6
6,88.4805756303265,80.31819868330793,8.58,88.4805756303265,80.31819868330793,2015,7
7,119.693986454514,108.1496708896534,4.01,119.693986454514,108.1496708896534,2015,8
8,172.633735380832,151.4897665973093,49.5,172.633735380832,151.4897665973093,2015,9
9,244.664269037997,205.05240184819402,69.89,244.664269037997,205.05240184819402,2015,10
10,166.865407655093,146.52023517637235,144.97,166.865407655093,146.52023517637235,2015,11
11,153.744193768911,136.1940574785506,158.36,153.744193768911,136.1940574785506,2015,12
12,131.907401370439,118.75432324972218,243.78,131.907401370439,118.75432324972218,2016,1
13,132.824253421868,119.62871934165858,129.6,132.824253421868,119.62871934165858,2016,2
14,131.310612327083,115.96372179865777,114.57,131.310612327083,115.96372179865777,2016,3
15,135.122335012222,117.67126098646757,6.27,135.122335012222,117.67126098646757,2016,4
16,108.042239567435,93.33412624672064,23.29,108.042239567435,93.33412624672064,2016,5
17,67.1882342021652,65.0602639397372,16.77,67.1882342021652,65.0602639397372,2016,6
18,88.3334264346676,80.22705480579782,0.01,88.3334264346676,80.22705480579782,2016,7
19,121.235455512225,108.90142358125462,20.38,121.235455512225,108.90142358125462,2016,8
20,161.340622361189,142.85434003465488,7.9,161.340622361189,142.85434003465488,2016,9
21,169.174364318886,149.25407959577413,107.8,169.174364318886,149.25407959577413,2016,10
22,137.968501863181,124.69426888748114,178.44,137.968501863181,124.69426888748114,2016,11
23,139.337126610199,124.74397025911392,166.39,139.337126610199,124.74397025911392,2016,12
24,129.831981486236,116.79560709499162,211.56,129.831981486236,116.79560709499162,2017,1
25,113.937298107937,103.75577611274345,120.04,113.937298107937,103.75577611274345,2017,2
26,131.858372796665,115.88344621435614,163.36,131.858372796665,115.88344621435614,2017,3
27,110.359431967288,99.07724097902707,95.17,110.359431967288,99.07724097902707,2017,4
28,99.2602515855144,86.49329233804856,60.26,99.2602515855144,86.49329233804856,2017,5
29,72.6545775754734,67.20465680039003,0.49,72.6545775754734,67.20465680039003,2017,6
30,61.6972420713228,59.24076496373626,0.0,61.6972420713228,59.24076496373626,2017,7
31,122.379706346303,108.85867786926724,2.53,122.379706346303,108.85867786926724,2017,8
32,155.896348998206,139.50800388804322,23.81,155.896348998206,139.50800388804322,2017,9
33,195.36227911726,170.62846087088693,71.81,195.36227911726,170.62846087088693,2017,10
34,125.283414270294,114.5192108696493,336.88,125.283414270294,114.5192108696493,2017,11
35,130.974874234891,115.49954429111129,197.08,130.974874234891,115.49954429111129,2017,12
36,127.902234957026,115.05054976459287,202.39,127.902234957026,115.05054976459287,2018,1
37,115.288673975139,104.72169697235178,146.89,115.288673975139,104.72169697235178,2018,2
38,138.104275355483,121.57878454228161,108.05,138.104275355483,121.57878454228161,2018,3
39,93.0918049850487,85.96754518335591,98.91,93.0918049850487,85.96754518335591,2018,4
40,80.0626213812096,72.34773305085596,18.46,80.0626213812096,72.34773305085596,2018,5
41,91.6395068471909,81.70698275368814,0.19,91.6395068471909,81.70698275368814,2018,6
42,91.1635421040029,81.15711411548415,0.01,91.1635421040029,81.15711411548415,2018,7
43,118.532710132252,105.42011269252808,5.44,118.532710132252,105.42011269252808,2018,8
44,146.159112544191,131.52116424294152,47.53,146.159112544191,131.52116424294152,2018,9
45,153.007216069473,136.28836825265589,172.53,153.007216069473,136.28836825265589,2018,10
46,120.613707037424,111.91987325209368,292.45,120.613707037424,111.91987325209368,2018,11
47,141.40300184064,125.99130599588705,148.0,141.40300184064,125.99130599588705,2018,12
48,149.430166518604,131.06132176291092,126.38,149.430166518604,131.06132176291092,2019,1
49,125.511151780067,114.24727523177421,273.29,125.511151780067,114.24727523177421,2019,2
50,119.65144587134,109.77850632699763,150.55,119.65144587134,109.77850632699763,2019,3
51,112.059606180328,101.57301479489978,72.66,112.059606180328,101.57301479489978,2019,4
52,100.239243330922,88.09013970725219,20.67,100.239243330922,88.09013970725219,2019,5
53,76.1878968717412,72.22069406017704,0.77,76.1878968717412,72.22069406017704,2019,6
54,75.8786498754012,70.83036649231563,1.61,75.8786498754012,70.83036649231563,2019,7
55,126.296909195716,113.3036384826072,4.45,126.296909195716,113.3036384826072,2019,8
56,209.683746971727,178.26404806323117,26.19,209.683746971727,178.26404806323117,2019,9
57,201.084080208546,173.78164830526046,89.65,201.084080208546,173.78164830526046,2019,10
58,162.758319709402,142.66301890275625,183.34,162.758319709402,142.66301890275625,2019,11
59,142.625780808267,127.44289259170866,195.12,142.625780808267,127.44289259170866,2019,12
