"","station","month","prec","temp","etp","etr","def","exc","wb"
"1","-46.5_-23.5",1,259.720294117647,22.5314136622391,108.124306938316,108.124306938316,0,151.595987179331,151.595987179331
"2","-46.5_-23.5",2,216.072941176471,22.7009892060272,99.8342592484402,99.8342592484402,0,116.23868192803,116.23868192803
"3","-46.5_-23.5",3,189.636764705882,21.698330170778,96.2555301828549,96.2555301828549,0,93.3812345230274,93.3812345230274
"4","-46.5_-23.5",4,114.253529411765,20.0904901960784,74.7689644554211,74.7689644554211,0,39.4845649563436,39.4845649563436
"5","-46.5_-23.5",5,90.2167647058824,17.5463662239089,54.9908107041729,54.9908107041729,0,35.2259540017094,35.2259540017094
"6","-46.5_-23.5",6,66.7517647058824,16.2909411764706,43.6265638451882,43.6265638451882,0,23.1252008606942,23.1252008606942
"7","-46.5_-23.5",7,66.0170588235294,15.8648576850095,42.2978588938397,42.2978588938397,0,23.7191999296897,23.7191999296897
"8","-46.5_-23.5",8,45.2858823529412,17.036375711575,50.6482354795444,50.5069971314368,0.141238348107578,0,-0.141238348107578
"9","-46.5_-23.5",9,135.862352941176,18.3074117647059,60.2035768757934,60.2035768757934,0,70.4376612868875,70.4376612868875
"10","-46.5_-23.5",10,127.524705882353,19.930559772296,78.7651664643898,78.7651664643898,0,48.7595394179632,48.7595394179632
"11","-46.5_-23.5",11,142.660882352941,20.8781960784314,88.6201605424833,88.6201605424833,0,54.0407218104579,54.0407218104579
"12","-46.5_-23.5",12,205.549705882353,21.8896204933586,104.621416337527,104.621416337527,0,100.928289544826,100.928289544826
"13","-46.5_-23.25",1,261.694117647059,21.6604459203036,101.297866111232,101.297866111232,0,160.396251535827,160.396251535827
"14","-46.5_-23.25",2,201.265882352941,21.7882896261953,93.1909955746242,93.1909955746242,0,108.074886778317,108.074886778317
"15","-46.5_-23.25",3,177.465294117647,20.8929696394687,90.8682682598885,90.8682682598885,0,86.5970258577586,86.5970258577586
"16","-46.5_-23.25",4,92.3426470588235,19.2606666666667,70.5460363427068,70.5460363427068,0,21.7966107161167,21.7966107161167
"17","-46.5_-23.25",5,77.8752941176471,16.5857685009488,51.1476024230414,51.1476024230414,0,26.7276916946057,26.7276916946057
"18","-46.5_-23.25",6,51.495,15.3199019607843,40.4760900279565,40.4760900279565,0,11.0189099720435,11.0189099720435
"19","-46.5_-23.25",7,48.7020588235294,15.0294592030361,39.9298066623405,39.9298066623405,0,8.77225216118889,8.77225216118889
"20","-46.5_-23.25",8,35.3217647058824,16.5807969639469,50.0852392795612,49.0471467939555,1.0380924856057,0,-1.0380924856057
"21","-46.5_-23.25",9,155.601176470588,18.2679607843137,62.0892075065477,62.0892075065477,0,79.7865868759674,79.7865868759674
"22","-46.5_-23.25",10,126.923823529412,19.9337666034156,80.8834265529596,80.8834265529596,0,46.0403969764522,46.0403969764522
"23","-46.5_-23.25",11,148.569117647059,20.6024705882353,88.1458648963023,88.1458648963023,0,60.4232527507565,60.4232527507565
"24","-46.5_-23.25",12,218.360588235294,21.2655407969639,100.37308222454,100.37308222454,0,117.987506010754,117.987506010754
"25","-46.25_-23.5",1,259.720294117647,22.5314136622391,108.124306938316,108.124306938316,0,151.595987179331,151.595987179331
"26","-46.25_-23.5",2,216.072941176471,22.7009892060272,99.8342592484402,99.8342592484402,0,116.23868192803,116.23868192803
"27","-46.25_-23.5",3,189.636764705882,21.698330170778,96.2555301828549,96.2555301828549,0,93.3812345230274,93.3812345230274
"28","-46.25_-23.5",4,114.253529411765,20.0904901960784,74.7689644554211,74.7689644554211,0,39.4845649563436,39.4845649563436
