,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)","[0.86539253 0.86118071 0.86170872 0.87075058 0.87053379 0.87342488
 0.8676259  0.87013258 0.8607503  0.87147127]",0.8672971272649107,"(('temp',),)",0.003326924728571981,0.004479421996934417,0.0014931406656448056
2,"(1, 5)","[0.90131286 0.8996364  0.90201046 0.90618147 0.90324438 0.90805083
 0.90409179 0.90247117 0.89959101 0.9055217 ]",0.9032112070600704,"('lat', ('temp',))",0.001962753504114025,0.0026426811359396966,0.0008808937119798989
3,"(1, 3, 5)","[0.917002   0.91559926 0.91464461 0.92067365 0.91936578 0.9170993
 0.91687697 0.91773933 0.91445285 0.91990737]",0.9173361117887877,"('lat', 'month', ('temp',))",0.0015036075141729721,0.002024479999772428,0.0006748266665908092
4,"(1, 3, 4, 5)","[0.91780015 0.91680384 0.91456174 0.92207762 0.91995026 0.91804374
 0.91827411 0.91853879 0.91563178 0.92080343]",0.9182485465083617,"('lat', 'month', ('prec',), ('temp',))",0.0016091390387692626,0.0021665692477156944,0.0007221897492385648
5,"(1, 2, 3, 4, 5)","[0.91866748 0.91711181 0.91540332 0.92289252 0.92059561 0.91880576
 0.91918655 0.91918405 0.91631993 0.92131796]",0.9189485010048521,"('lat', 'year', 'month', ('prec',), ('temp',))",0.0016092240587573248,0.002166683719919239,0.0007222279066397461
6,"(0, 1, 2, 3, 4, 5)","[0.91873506 0.91713414 0.91541277 0.92285225 0.92068346 0.91879372
 0.91919339 0.91927252 0.91630785 0.92143555]",0.9189820713752772,"('lon', 'lat', 'year', 'month', ('prec',), ('temp',))",0.0016174133528644773,0.002177709909916236,0.000725903303305412
