,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)","[0.86491898 0.86279242 0.87363908 0.86846027 0.86548424 0.86497409
 0.86424382 0.8697422  0.87265851 0.86226157]",0.866917516451938,"(('temp',),)",0.0028200172425463894,0.0037969140568499425,0.0012656380189499808
2,"(1, 5)","[0.90261564 0.90190546 0.90466575 0.90292835 0.89916814 0.89982087
 0.90102235 0.90484151 0.90648516 0.89974692]",0.9023200172087746,"('lat', ('temp',))",0.0017310629197633725,0.0023307294133444053,0.0007769098044481351
3,"(1, 3, 5)","[0.91655241 0.91794881 0.91718248 0.91736425 0.91457222 0.9153569
 0.91767621 0.9187972  0.91718676 0.91574073]",0.9168377978735472,"('lat', 'month', ('temp',))",0.0009067545253809642,0.001220868068318077,0.00040695602277269235
4,"(1, 3, 4, 5)","[0.91709575 0.91772541 0.91794628 0.91848573 0.91578336 0.91600222
 0.91861755 0.91930657 0.91847461 0.91665257]",0.9176090057932814,"('lat', 'month', ('prec',), ('temp',))",0.000834917147406356,0.0011241451312651327,0.00037471504375504426
5,"(1, 2, 3, 4, 5)","[0.91802998 0.91729758 0.9183863  0.9195039  0.91668666 0.91716726
 0.91887641 0.92008758 0.91934533 0.91736985]",0.9182750849115937,"('lat', 'year', 'month', ('prec',), ('temp',))",0.0008102011855423268,0.0010908671847284085,0.00036362239490946946
6,"(0, 1, 2, 3, 4, 5)","[0.91802094 0.91736514 0.91843604 0.91947966 0.91663778 0.91726674
 0.91886085 0.92027482 0.91933367 0.9175025 ]",0.918317814171609,"('lon', 'lat', 'year', 'month', ('prec',), ('temp',))",0.0008172650464271227,0.0011003780743373299,0.0003667926914457767
