,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)","[0.86789311 0.86736126 0.86550743 0.86394405 0.86765409 0.86771588
 0.86720249 0.86398434 0.8706783  0.86561026]",0.8667551218681047,"(('temp',),)",0.0014369510780093064,0.0019347327614822067,0.0006449109204940688
2,"(1, 5)","[0.90335118 0.9022376  0.90174336 0.89815232 0.90483602 0.90470573
 0.90177739 0.90028487 0.90554281 0.90098398]",0.9023615253589075,"('lat', ('temp',))",0.0016167390575607433,0.002176802028475446,0.000725600676158482
3,"(1, 3, 5)","[0.91880391 0.91600227 0.91591909 0.91273613 0.91903546 0.91949709
 0.91556694 0.91229152 0.91809494 0.91672178]",0.9164669142002582,"('lat', 'month', ('temp',))",0.0017675173251830926,0.0023798121786140452,0.0007932707262046817
4,"(1, 3, 4, 5)","[0.91980284 0.91705669 0.91677296 0.91351484 0.92005497 0.92096118
 0.91703321 0.91342413 0.91870081 0.91751224]",0.9174833883862163,"('lat', 'month', ('prec',), ('temp',))",0.0017992564517828108,0.0024225462208462807,0.0008075154069487602
5,"(1, 2, 3, 4, 5)","[0.92051995 0.91831341 0.91780771 0.9142001  0.9206675  0.92111571
 0.91801428 0.91451184 0.9193006  0.91775967]",0.918221074886523,"('lat', 'year', 'month', ('prec',), ('temp',))",0.0016801711239706947,0.0022622079263448884,0.0007540693087816295
6,"(0, 1, 2, 3, 4, 5)","[0.92057343 0.91831771 0.91785312 0.91430763 0.92058352 0.92127051
 0.91805745 0.91463624 0.91932602 0.91781063]",0.9182736249924852,"('lon', 'lat', 'year', 'month', ('prec',), ('temp',))",0.0016626341784102704,0.0022385959164224023,0.0007461986388074674
