,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)","[0.86555765 0.86532793 0.86903874 0.86761733 0.86576902 0.86459538
 0.867349   0.8667081  0.86496445 0.86986335]",0.866679095682317,"(('temp',),)",0.0012479060882360532,0.001680199715294525,0.0005600665717648417
2,"(1, 5)","[0.8988219  0.90219074 0.90141902 0.90228826 0.90287589 0.89834307
 0.90292288 0.90158314 0.90476671 0.90655391]",0.9021765532852282,"('lat', ('temp',))",0.0017227769857314822,0.002319573105884594,0.0007731910352948647
3,"(1, 3, 5)","[0.91533998 0.91471202 0.91698789 0.91522612 0.91991047 0.91391103
 0.91824819 0.91673638 0.91852949 0.91838063]",0.9167982195293242,"('lat', 'month', ('temp',))",0.0013818394784361637,0.001860529666565737,0.0006201765555219123
4,"(1, 3, 4, 5)","[0.91610043 0.91547838 0.918189   0.91590865 0.92089498 0.91446588
 0.91892325 0.91758186 0.91980627 0.91931322]",0.9176661913290364,"('lat', 'month', ('prec',), ('temp',))",0.0014881604847456124,0.0020036818846813453,0.0006678939615604485
5,"(1, 2, 3, 4, 5)","[0.91702779 0.9167619  0.91900057 0.91609467 0.92161969 0.91571791
 0.91924055 0.91819938 0.92036928 0.92035943]",0.9184391167639611,"('lat', 'year', 'month', ('prec',), ('temp',))",0.0014140938554612706,0.0019039574497983606,0.0006346524832661202
6,"(0, 1, 2, 3, 4, 5)","[0.91696097 0.91674266 0.91888979 0.91622986 0.92168709 0.91574182
 0.91927677 0.9182474  0.92054527 0.92042213]",0.9184743771031666,"('lon', 'lat', 'year', 'month', ('prec',), ('temp',))",0.0014299064511960695,0.0019252477689194344,0.0006417492563064783
