,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.2423462152481079,0.002863135299218393,0.0,0.0,250,8,7,"{'n_estimators': 250, 'max_features': 8, 'max_depth': 7}",,,,,,,,,,,,,25,,,,,,,,,,,,
1,4.302656102180481,0.056272342722775905,0.08088397979736328,0.00261839079059133,250,4,9,"{'n_estimators': 250, 'max_features': 4, 'max_depth': 9}",0.9957482042256355,0.9960517555458379,0.9967852557016875,0.9956566018695737,0.9966207747132699,0.9965598932926598,0.9965717824220274,0.996402701347284,0.9965640776828867,0.9967507644889011,0.9963711811289764,0.00038634834587644105,3,0.9975741783481845,0.9974996863669723,0.9975306546123618,0.9974991825845623,0.9975233517118638,0.9974974211334389,0.9975784262637732,0.9975144580372062,0.9975134594965752,0.9974608133823883,0.9975191631937328,3.3762456854698115e-05
2,1.9058653593063355,0.010880361365360141,0.0794039249420166,0.0027595333744088236,250,1,9,"{'n_estimators': 250, 'max_features': 1, 'max_depth': 9}",0.9736711060695725,0.9706238551923365,0.9732485922440952,0.9679394188465943,0.9732217645163256,0.9730850578352526,0.9774857200575778,0.9760528962990349,0.9706942608755226,0.9741306194352602,0.9730153291371574,0.0026049642069395688,15,0.9791871848249215,0.9777024462079101,0.978309947832669,0.9767068686308893,0.9789608477517426,0.9780873842324983,0.9787461705426529,0.9788440014671543,0.9785867296645516,0.9799398458212631,0.9785071426976252,0.0008367491964654347
3,1.3012065410614013,0.025425411629712933,0.05767149925231933,0.0023127171366854366,200,1,7,"{'n_estimators': 200, 'max_features': 1, 'max_depth': 7}",0.9455536015365253,0.9495163140197003,0.9448902120488589,0.9436812947508747,0.9456952788558062,0.9466004562096567,0.9523777768788275,0.9497835730098297,0.9410610833510051,0.9456638403838626,0.9464823431044949,0.003111205180040521,18,0.9508357259506008,0.9537911999194987,0.9504557067370079,0.9514912362764728,0.9515589437701913,0.9512569462034168,0.9492117962164066,0.9498392483673894,0.950056262218514,0.9523493178422099,0.9510846383501708,0.0012616842291018149
4,12.006980776786804,0.024168713346561007,0.23485805988311767,0.0028179370366395503,1000,4,5,"{'n_estimators': 1000, 'max_features': 4, 'max_depth': 5}",0.9825510572999427,0.9826366731597136,0.9836103039662664,0.9826830245594939,0.9835150814185141,0.9835139499441312,0.983860872231396,0.9837484358962127,0.9833000521732609,0.984278066558714,0.9833697517207645,0.000547131893543894,8,0.9848991644445342,0.9846303171474056,0.9843491928287267,0.9843868172095758,0.9845894902724868,0.984834856232931,0.9843524809964338,0.9846665602166376,0.9841909738153438,0.98425747957603,0.9845157332740104,0.00023094313307840694
5,18.906807780265808,0.3131731712182237,0.33780086040496826,0.05429168327630613,1000,4,9,"{'n_estimators': 1000, 'max_features': 4, 'max_depth': 9}",0.9957534699009464,0.9960366730396204,0.9968003933086241,0.9956631237121668,0.9966821810952233,0.996558368701001,0.9966171422635067,0.9964640353722022,0.9965339644588466,0.9968049707802216,0.9963914322632359,0.00039880834616010536,2,0.9975922651888244,0.9975174970808702,0.9975160348814633,0.9975075033124069,0.9975856011398573,0.9975196517505979,0.9975678608407824,0.9976005697811344,0.9975314297248504,0.9975072251188734,0.9975445638819661,3.570180002745349e-05
6,0.767212700843811,0.018127878132653538,0.015860223770141603,0.00037362837439081515,50,6,5,"{'n_estimators': 50, 'max_features': 6, 'max_depth': 5}",0.9762783666117192,0.9778630318308966,0.977428339745584,0.9805180656260847,0.977628837614764,0.9785074642619892,0.9765360361468982,0.9775381133190759,0.9810762468037051,0.980413799676769,0.9783788301637486,0.00162039017080983,13,0.9801798335825442,0.9803337735709086,0.9786231568287436,0.9800449600670644,0.9795595034039193,0.9805445435579195,0.9785815501354749,0.9795101064145262,0.9791850210839065,0.9802095157833295,0.9796771964428336,0.0006670899679018183
7,0.4493624925613403,0.008204650473087235,0.017653059959411622,0.0007792743557621899,50,2,7,"{'n_estimators': 50, 'max_features': 2, 'max_depth': 7}",0.9845049559486593,0.9828695877752438,0.9871867380480285,0.9837923264713527,0.9859251952437084,0.985839442732773,0.9878712218543702,0.986993012105441,0.986312965827855,0.9853542836322567,0.9856649729639688,0.00149091219599905,7,0.9862139102413621,0.987081668167243,0.9879222899593894,0.9873315286534629,0.9871734715120593,0.9872610903803488,0.9877876656309771,0.9877867828650221,0.9886487098798108,0.9864117105910707,0.9873618827880746,0.0006839282830789328
8,1.3249296426773072,0.014482142710384319,0.06103661060333252,0.002985449880258082,250,1,5,"{'n_estimators': 250, 'max_features': 1, 'max_depth': 5}",0.8944702870264152,0.8934530896354265,0.8961476545072129,0.8804932777072122,0.8917756417581088,0.8916552670232062,0.9145463735968254,0.9026662986508823,0.8844368352139744,0.8969341576972703,0.8946578882816535,0.008893836194938835,22,0.8997369737161939,0.8938832867037566,0.9018406588312688,0.8917339677775376,0.8971569205844252,0.8930504851678718,0.9061072052809817,0.8987537390777316,0.8960113293388189,0.9008053734049225,0.8979079939883509,0.004209772987263678
9,20.96585645675659,0.4144525610165157,0.27126388549804686,0.017915452957983444,1000,6,7,"{'n_estimators': 1000, 'max_features': 6, 'max_depth': 7}",0.9890513024367825,0.9896877673146307,0.992133189841962,0.990819070539419,0.991503257642306,0.9910155264364762,0.9910885290917182,0.989971242699943,0.9921125394192365,0.9918169021298789,0.9909199327552353,0.000999844248903647,6,0.9922750799885124,0.9919862813936146,0.9919479199035535,0.9922324780634074,0.9920914361752123,0.992361544066803,0.9920801188638712,0.9921298620572516,0.9919279141175484,0.9921199650978633,0.9921152599727637,0.00013480090698186802
