,r2,rmse,mape,rrmse,iter
0,0.9967246324527762,1.3385058794797355,1.465674835974479,1.8299381989618113,1
1,0.9966893303830086,1.334497767418111,1.4716404486425838,1.8221516774986641,2
2,0.9963899540503771,1.398066561669786,1.485372023379388,1.9098062593150387,3
3,0.9963826365972018,1.3846608725740963,1.4957487960929547,1.8850341735732354,4
4,0.9962401675342425,1.4078472597656309,1.4913604971083212,1.9196412698969911,5
5,0.9966350821453055,1.3411095542830924,1.466334168994674,1.8280985674148273,6
6,0.9961405340784955,1.4415643715318853,1.490797805232475,1.9776405034616997,7
7,0.9966570424633922,1.355491082944411,1.46472681207432,1.8411629254103348,8
8,0.9964889145915299,1.374989888040396,1.4797943507994509,1.894278214722172,9
9,0.9938747062266448,1.8204001219368864,2.1113161104642755,2.480079282336463,10
10,0.9963740777435086,1.3902492177422943,1.4738262257190387,1.8966264147736054,11
11,0.9965653383476942,1.3755837402544726,1.5009995691825297,1.883347488754111,12
12,0.9966791079290744,1.3274681007475224,1.475957078194838,1.8156855437175363,13
13,0.9964702971565034,1.4004600368597981,1.4987489587337544,1.9172324313109266,14
14,0.9967024777010643,1.3446214591986063,1.4719072491051781,1.8276877876958704,15
15,0.9961855264216194,1.4351532928659718,1.4437758135951178,1.9478784865156629,16
16,0.9964440648495909,1.389168273638518,1.4851223241598606,1.8902470369788285,17
17,0.9963875539428965,1.4013887229833575,1.5074546328891607,1.9257342208174286,18
18,0.995701103110424,1.5204403358372347,1.5139874803216846,2.081438965796842,19
19,0.9965627318102295,1.3489446074290543,1.4127691458507226,1.830746508618891,20
20,0.9959380443839552,1.4890338464705353,1.4766592281099853,2.031585019034342,21
21,0.9966090766338543,1.3516812496068653,1.472850212342004,1.8544850871612093,22
22,0.9959144438816837,1.4809397066429606,1.4901695853094497,2.0260537369881817,23
23,0.9963015342532611,1.4129970947039199,1.5295540490236934,1.9439689509369062,24
24,0.9963607019042813,1.4046728531016042,1.5013164649932293,1.919942485258259,25
25,0.996348443437893,1.4014285069674617,1.4946886341631545,1.9151737795581019,26
26,0.9965217334496831,1.3633938400006786,1.4895624835428214,1.8775518171402577,27
27,0.9965509006571629,1.3531119788805328,1.4708937228763934,1.8602301046592689,28
28,0.9967501938042066,1.3291851018141196,1.4435973317169706,1.8244276262871961,29
29,0.9965946435009442,1.334987786279656,1.4538936591342653,1.8270582248095457,30
30,0.9964375295340667,1.3736325814398265,1.4688933354991571,1.8910459558682364,31
31,0.9965333440456119,1.3676705902227715,1.4832995495633612,1.8832797661519172,32
32,0.9965846068733353,1.3572252874603683,1.4645395199379152,1.8471924800774449,33
33,0.9965527666691342,1.355638292682537,1.4486455499376654,1.8366329119491207,34
34,0.9967219651200571,1.3186024870231494,1.4435420417121545,1.8032619120623874,35
35,0.9963683012723062,1.3860532114136657,1.4760964074555931,1.9097525114743243,36
36,0.9963966683323864,1.4043056993361525,1.4738212082842401,1.9201337513153964,37
37,0.9961003607039121,1.4508351810374773,1.4440254764603264,1.9837361408652614,38
38,0.9963498285654813,1.4014132522622775,1.4569005973805491,1.9119342139336317,39
39,0.9933613912890333,1.8653427724704361,2.1766644919783134,2.5550422992792634,40
40,0.9966621151444177,1.3502354611652514,1.4597263385779122,1.844629137907959,41
41,0.9965965298123879,1.3596860503331787,1.4964823058241268,1.8668081246938772,42
42,0.9965197866803964,1.3737960482344,1.4621668794100477,1.8707541698158865,43
43,0.9966259103470279,1.363028212876883,1.4441578156735322,1.8683177405799556,44
44,0.9962508724636848,1.4218024457491807,1.4674518869003876,1.9470510470134645,45
45,0.9967061398612611,1.3425644532691714,1.4269203806395154,1.8287861748195844,46
46,0.9963990765900473,1.3993755727983832,1.4771513056785197,1.9082660251697332,47
47,0.9966093411224,1.3636893632553264,1.5247833239265984,1.885059446936,48
48,0.9967135044302088,1.328967564400088,1.4787049584657288,1.8267413703571584,49
49,0.9959664226488864,1.4713445865832036,1.4593250684953216,2.006526469273163,50
50,0.9963646910013907,1.397367100206107,1.5177497780974711,1.9195543405055144,51
51,0.9963777984264887,1.395086220858053,1.4964217798412207,1.8998176010793562,52
52,0.9960733275138995,1.4418303501249605,1.4951592683558153,1.9755735658008746,53
53,0.9965961228766196,1.355699861348268,1.435606037940446,1.838907071732644,54
54,0.9963800432679035,1.3978655677206568,1.5089271580176766,1.9122449878654446,55
55,0.9964598072915536,1.3648299506041996,1.4909518686443344,1.87269772449021,56
56,0.9964858221390608,1.3670880581343339,1.4606420420358908,1.8710150443108367,57
57,0.9965833485833008,1.3562513422607378,1.4646415104869102,1.8523945321585036,58
58,0.9966031924673748,1.3346761383167007,1.4702613534935258,1.8255099480438213,59
59,0.996243202355528,1.4116318782219504,1.486501149294863,1.924092062857528,60
60,0.9963785490378113,1.3851769566085583,1.4619942725591748,1.8878885263358471,61
61,0.9960390818041355,1.4700257033035253,1.4484163095432356,2.018355918834345,62
62,0.9957938312402864,1.501958450569051,1.4887588123112103,2.0578340598253146,63
63,0.995947407199556,1.4790389720034267,1.4712627148634563,2.0255974809786683,64
64,0.9964605281358846,1.3870906230975768,1.5124637237045557,1.8993029157087438,65
65,0.9965824322823429,1.3597846453754323,1.453175122053324,1.8567911862472684,66
66,0.9933062449653708,1.883298086903614,2.0875828132370042,2.564749161004541,67
67,0.9965653685153149,1.3652119455830474,1.4907239679270061,1.8761917766273564,68
