"","station","month","prec","temp","etp","etr","def","exc","wb"
"1","-61.25_-2.75",1,255.209705882353,25.7777514231499,123.78366541744,123.78366541744,0,131.426040464913,131.426040464913
"2","-61.25_-2.75",2,261.882352941176,25.7084616777746,114.062009924665,114.062009924665,0,147.820343016512,147.820343016512
"3","-61.25_-2.75",3,287.630588235294,25.8007305502846,127.264696698356,127.264696698356,0,160.365891536938,160.365891536938
"4","-61.25_-2.75",4,310.264411764706,25.7019901960784,120.679258726612,120.679258726612,0,189.585153038094,189.585153038094
"5","-61.25_-2.75",5,258.937352941176,25.6361290322581,122.813572306056,122.813572306056,0,136.12378063512,136.12378063512
"6","-61.25_-2.75",6,155.154117647059,25.4696274509804,115.598587912542,115.598587912542,0,39.5555297345163,39.5555297345163
"7","-61.25_-2.75",7,106.029705882353,25.4567172675522,119.137653381406,118.31489985365,0.822753527756149,0,-0.822753527756149
"8","-61.25_-2.75",8,88.3179411764706,26.3832352941176,135.859376880555,121.506817989348,14.3525588912077,0,-14.3525588912077
"9","-61.25_-2.75",9,111.474117647059,26.981637254902,143.310070307295,126.341089738114,16.9689805691802,0,-16.9689805691802
"10","-61.25_-2.75",10,135.792058823529,27.1869924098672,153.147691677199,142.110928547542,11.0367631296576,0,-11.0367631296576
"11","-61.25_-2.75",11,169.983529411765,26.6757941176471,139.305775141056,139.305775141056,0,0,0
"12","-61.25_-2.75",12,226.765588235294,26.0899810246679,133.469398624739,133.469398624739,0,57.3140312820223,57.3140312820223
"13","-61.25_-2.5",1,255.209705882353,25.7777514231499,123.639171836898,123.639171836898,0,131.570534045455,131.570534045455
"14","-61.25_-2.5",2,261.882352941176,25.7084616777746,113.961156584601,113.961156584601,0,147.921196356576,147.921196356576
"15","-61.25_-2.5",3,287.630588235294,25.8007305502846,127.2109267735,127.2109267735,0,160.419661461795,160.419661461795
"16","-61.25_-2.5",4,310.264411764706,25.7019901960784,120.700543749886,120.700543749886,0,189.563868014819,189.563868014819
"17","-61.25_-2.5",5,258.937352941176,25.6361290322581,122.903259061695,122.903259061695,0,136.034093879481,136.034093879481
"18","-61.25_-2.5",6,155.154117647059,25.4696274509804,115.729565848839,115.729565848839,0,39.4245517982202,39.4245517982202
"19","-61.25_-2.5",7,106.029705882353,25.4567172675522,119.28159837154,118.44107009288,0.840528278660926,0,-0.840528278660926
"20","-61.25_-2.5",8,88.3179411764706,26.3832352941176,135.984777355916,121.527313260861,14.4574640950553,0,-14.4574640950553
"21","-61.25_-2.5",9,111.474117647059,26.981637254902,143.367127572031,126.323661115104,17.0434664569271,0,-17.0434664569271
