,0
14083,133.1170932302683
13017,142.4662637769579
11578,122.62465254674852
3292,132.3703587477761
13968,99.27652565843772
10074,123.17423355972004
3492,111.79194848431234
6503,152.4447083356617
3895,139.5402679296426
10191,125.49001321468407
8297,117.9712644794332
3555,130.86166090445715
15696,108.26124566298779
5198,127.74674771490321
5289,152.43821916001136
1630,158.1991869715005
3932,159.3011873212769
10235,109.74321008531693
15315,107.43131768716715
1691,110.2081305329482
197,117.5951418865849
8059,148.55951307588674
6824,217.04191865892778
15998,132.40679502000617
14339,108.6344660767394
14823,124.95227714323684
7505,107.07512675615577
5906,130.60678464917518
14524,111.61573872495713
16149,134.55325502643018
16391,121.68301848169513
9741,180.21810182347372
15745,106.29594026166315
5798,139.415888952837
3027,123.24785021655917
4400,150.4461555261218
12831,115.13796358744369
3766,135.25849061166886
1759,121.9455560102024
1313,119.22996378225454
8472,135.32336194414114
6753,139.5071979860325
1804,114.94221776793324
4089,150.60975622549006
1573,145.2776655097673
7616,129.0205213846786
15675,120.6932391891024
2103,120.10730653216407
11644,106.87510200402875
7683,119.49218452962837
10029,141.871521700508
10020,108.70918838605014
4240,129.64182388764718
9994,165.03894090875087
2954,108.825458755765
3784,134.89770187006474
16228,146.7487930002828
15803,124.70812068431137
2404,122.22695952551638
3289,135.9247930025909
2130,110.07522046606815
389,127.33603596120749
3100,119.10823628884457
4510,141.54860914821487
7555,136.5727659568922
9602,120.16378179792302
525,160.42960186653718
10398,121.61389401699311
8427,120.1988324263489
2019,127.74927585864498
14863,127.93959423155229
15644,144.1205704700487
11588,129.87016761051436
14018,105.74277294071834
14030,109.15398199620785
2418,116.4592013956717
17008,112.73390178429656
3614,139.91853140145972
6889,113.82926949064904
4389,203.44674215293944
13453,114.74773166860342
9491,130.83400214232094
14911,115.04024685465626
10004,154.66070263271885
1986,120.57147275025893
8095,134.55149189273536
14431,116.99219319984942
2366,110.50916574890157
6224,148.50984248110504
1960,109.43956615768877
4828,124.4760338259494
8688,129.59422287571417
821,124.8744626345378
5055,118.81138925593123
6249,154.41719760126412
13063,129.64326179475546
8637,145.09143043642334
84,116.49359101237741
1413,148.6089099131622
4657,140.39489164944808
10026,103.58663733689136
8129,117.52519966653414
2989,126.88827972508909
9382,167.8091166572422
8382,107.75376701942213
9042,111.3747079975137
1882,157.81661165374703
11330,131.6712339155482
5321,117.14871192360148
2243,155.3614108845339
8126,110.0049196736178
13275,113.45400471090167
8203,116.1915255163241
10298,105.32493340251509
12293,93.87427641759533
15980,126.51761094613012
10718,113.55069390412041
1099,148.718989227855
6823,197.59903171316722
10198,154.2784280652142
11995,116.74243748483688
15608,129.71241383491318
7760,124.4105153106548
13631,140.2077914072384
13440,149.59220325114603
7902,113.13741252523178
10155,116.29648923671334
12699,117.56342345237118
5633,111.77232743279585
4228,130.43046738216304
14412,143.81646042653261
233,110.25003521142952
14544,145.4335332489873
4821,130.88504544572226
10529,109.64918607280065
4311,119.82164907463687
4798,137.63332555798914
14443,116.88219845635068
8435,137.41936378600494
8160,109.03539323431782
287,135.18329584707598
6873,194.758101211012
11889,124.74153177098945
2313,140.18705395999314
14512,111.46809327795197
2302,146.9135175872802
10140,133.5941957427874
5812,118.52951522648296
11287,124.8421368381755
9406,136.36495211001528
10973,118.32920222902648
5395,127.59280771012888
16920,103.80834433446195
10564,120.36026301787403
11894,104.98259114516952
4180,116.00538021032835
5304,112.3983820731126
14529,171.56967057889855
3485,119.22234765206355
9975,122.01980642815568
8913,201.35414773243087
16321,111.15382828084756
15204,111.70095571444132
16686,123.05854998261773
15106,139.20454543489714
14661,171.9291497129614
582,118.9404444247259
4219,144.5747103532751
13958,122.81894476039984
8562,120.83929266790173
16943,123.80711175925296
11697,140.31997046705385
13393,116.1547316460856
377,119.6163530972337
3648,146.55923063523406
16711,127.87222810075893
10792,113.1176880059588
9496,125.31970850430207
5702,119.86673134127022
5054,120.09865433742318
8520,109.6777362523449
3618,126.57120116903147
14460,110.84955476516863
14318,112.86640624789538
9880,121.2380617618623
2140,109.70588701057669
5669,118.11248068833794
10150,148.73094194864257
2443,132.6488973882606
545,123.06207587863827
13079,140.50976374107768
5722,153.32298745647006
16073,111.74426585059729
1374,127.6550044337101
13083,132.08887825281764
476,130.11409250942575
5004,116.80201818182668
10606,134.5319137324042
15706,166.1644902662147
11224,129.95728999354685
13940,113.98756101362557
2764,123.83754599684208
1755,119.83732378269356
695,135.48147747076416
4337,127.45210561885528
14351,116.63009549933979
6273,142.9662308599428
8109,150.5152704529241
15778,136.47460243469232
8254,120.31151250652938
1525,135.06519290337548
7562,113.18038705132255
6908,158.9713834230654
1042,150.00962468213322
7962,124.2236180547031
12360,113.15768753997428
5670,121.56458044959396
12570,111.95079106783233
9532,123.245524878621
8264,124.5934364101072
13787,120.17236110476962
9271,193.56666994083915
13230,119.24582191493506
4015,150.18965872499805
4336,135.0776261300772
9052,129.91517640026706
3941,128.4517715671896
3642,120.18193643063822
16904,134.45114925845357
17128,116.26179832241765
11277,134.8049149762151
13794,118.80641663254193
15488,128.3295209038172
7223,146.682932964272
6909,178.46353929206015
8983,150.96977267066154
6999,119.14217048820309
15827,113.39154982015256
10709,109.86595611863079
12845,113.83327595419647
1616,168.2717781363702
11381,116.09181982713972
1235,133.18141743428046
2492,114.6559918348523
8543,126.18961218938026
1447,139.40050695812883
9829,106.5119394381284
2400,114.05996467832742
4777,155.6515791695593
5507,162.48504503236816
6257,133.2792870575098
5369,105.02372161080207
2615,129.43322847293737
14844,113.4883604146957
13409,127.20855421045938
10555,129.99380116495314
14303,127.95759675440429
7404,101.22099460132698
2676,107.23927740414534
11689,132.52720147068317
4599,127.94741600839856
9990,133.82648675646365
6359,140.95230354830508
7434,108.56417326131589
14979,127.21173557119873
980,149.50471687040272
15148,107.32156812697293
12713,99.98599320236062
7843,123.99122946354726
2296,124.17836538822009
15623,123.48952435092603
13014,114.38737929523593
1263,123.48985034374398
12378,108.03577848336757
8540,126.66378233550992
8505,164.34502768501787
566,116.31768086728474
13273,115.12217121341143
1218,136.14750569352742
14977,129.25441538549808
4079,155.03247926096384
6537,148.68568816128075
5167,129.30909899777805
1921,155.21363657435734
2131,131.2006449413523
6246,121.22440370086771
9807,114.33463117959191
13327,130.84493141073997
9660,136.42912212182014
1221,163.85801924426306
179,130.94447690444704
5015,127.96974702452574
7966,139.33385219668534
5243,153.50041938189497
8962,141.43801547679806
14769,151.5313150595318
1958,110.21098412521336
6126,118.89193654028041
14196,107.56167035024957
5687,133.702021740322
15964,114.60041982775857
5868,125.93809777919012
12678,130.4769195615623
16139,128.17155238933157
5881,135.0704481238715
12707,106.11341438814111
3258,125.30070059554598
6230,126.94110249315587
2770,144.2521001307203
5818,146.85975482819703
15198,97.28480427529294
5459,123.91041764114766
11662,128.67877036986363
7205,118.86227970776291
6398,132.8522112154454
16884,108.00927489473159
14401,118.60079053064791
16612,166.09610472653975
15528,149.88639613748236
6170,129.32950684167918
16356,101.3121437131678
16470,118.47074300794078
6150,152.63348559525033
6838,144.91514339710812
15455,127.24186146642495
10184,150.67078572063318
15122,134.9324011025803
1968,112.93839362003308
12062,104.36751310680197
6238,166.75775057835153
4829,112.86767340509071
4772,136.7862419920135
16912,108.89192223311449
16992,143.88569927591726
15225,136.6124168250711
7668,109.9559297489773
12977,106.28987024523383
12768,113.45586916366248
11194,130.2529244734111
2458,142.3542931627681
6857,114.73543381142467
11776,127.9715935155927
536,135.07242322192766
13697,115.40851651670236
16010,109.5258231806046
2569,124.62848006464941
15090,118.03173116278954
15224,131.13723130742417
7767,111.64223560932885
1827,119.8535642275345
12584,197.56188467826783
1972,124.03809123074743
13010,109.36514474329175
10246,115.95407206227648
4204,131.90266848727373
4996,110.14382960577866
11364,137.62586235992455
4701,169.64216091339645
13253,121.67178617150313
5714,140.40984462190042
5104,131.24308234898368
5800,129.32206511058217
7784,136.76417936987005
4960,115.6312499778679
4271,136.99040741216845
956,156.26520231438644
7033,104.7161218015942
13957,122.55669297039776
13919,106.07856633944411
11147,168.27693279953496
14819,173.97112311589007
11000,128.05391689813155
14469,130.81504141030953
14081,118.41525492964439
13290,103.88201679843111
13062,108.33928995438528
6356,144.62235941534766
12788,143.68262787484673
2852,163.98154066773915
7286,143.4331546510195
16647,118.94639741874641
1736,128.47257131938017
3984,145.9326081335409
11535,120.22092122535423
8104,127.19015372865401
950,134.8514961682137
11874,100.23254475626145
5825,127.93744889608986
8209,106.92389590086013
14813,109.97877238533863
4702,147.8531964892525
13791,118.50845482354447
1598,121.45622845976713
12631,117.50848625745063
10351,119.19817207974702
16496,147.09515598945714
1122,129.6772874732727
14056,108.45397963791251
12,112.92822182626844
5435,170.0277703025893
2965,119.35362016667194
9064,130.05818932947233
16150,133.80788880250182
13679,136.4155220150757
