,0
0,131.98613999760462
1,142.6750347230767
2,121.92383193973453
3,133.24985477108663
4,106.39297427061041
5,122.6632946148511
6,117.34462953206597
7,153.74539704656976
8,140.0095429775565
9,123.23804960632756
10,115.99622614775649
11,128.38982991645804
12,108.58072736595071
13,130.02910268697352
14,153.2675266477011
15,155.43111166041595
16,155.40788718636549
17,111.77543705923456
18,110.178448696097
19,115.41389168504578
20,115.510019678449
21,148.54905510650323
22,236.12661950914656
23,133.77147649157735
24,114.15366001056125
25,122.41126914153313
26,109.09011657818824
27,130.79240397467748
28,115.84934154739429
29,134.3842517991475
30,122.39791879029244
31,185.6836136372066
32,102.76735473387727
33,142.25159892092404
34,122.56499478993307
35,146.08362992537462
36,116.12512545349774
37,130.3396767063432
38,123.08974562057686
39,116.34353519246434
40,134.17731169561986
41,140.6059038446427
42,118.18889919560044
43,150.0097425983728
44,136.6664818120706
45,125.64257423238996
46,119.01338224271024
47,120.06899017833092
48,112.87336172946851
49,117.88717890178859
50,142.2148176468158
51,113.22136814114992
52,130.44116562321122
53,160.28577698840004
54,116.42253076374044
55,134.11064317458965
56,143.24249921752227
57,116.76277406135056
58,125.87574190517219
59,126.6816976512715
60,114.08790083256586
61,125.34352018684497
62,122.80569073702759
63,137.34389996105264
64,135.457109345402
65,125.34118795853533
66,162.34275483811103
67,121.72224127718394
68,118.88874244243188
69,127.26387362205432
70,128.1517725128331
71,137.95049211354166
72,127.28154904708968
73,112.90106331666868
74,115.90422059863265
75,119.36944490912472
76,114.31172577394528
77,143.86289459209559
78,108.39014607125098
79,218.0494473557444
80,107.67175389088473
81,131.8878041990093
82,118.89270113514435
83,148.5792292757142
84,122.10310828886821
85,134.3295162528238
86,119.9174303487573
87,117.83153548554435
88,143.8085638329896
89,115.41264368629533
90,125.43913853774599
91,129.05385192017494
92,121.84053891348263
93,118.63765759987088
94,154.57250919051256
95,128.74357627623488
96,144.44145602667695
97,120.57017478218597
98,149.29058750048898
99,130.7184571397085
100,108.95724619066289
101,117.19856266899896
102,119.24648246345814
