,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)","[0.94908017 0.9509398  0.94725527 0.95017767 0.94577569 0.94283937
 0.9399273  0.94369201 0.94014049 0.94822782]",0.9458055573644879,"(('temp',),)",0.002819190543802059,0.0037958009771014325,0.001265266992367144
2,"(3, 5)","[0.95407755 0.95530775 0.94957399 0.95400051 0.94987794 0.94645625
 0.94483602 0.95059908 0.94592403 0.9515716 ]",0.9502224714188496,"('month', ('temp',))",0.0025639348895305112,0.003452120886365914,0.0011507069621219713
3,"(0, 3, 5)","[0.95556356 0.95552288 0.95101131 0.95524253 0.95097289 0.94853549
 0.94579329 0.95092935 0.9469986  0.95301862]",0.9513588517190252,"('lon', 'month', ('temp',))",0.0024774724031483876,0.0033357064811695668,0.0011119021603898556
4,"(0, 2, 3, 5)","[0.95624988 0.95623128 0.95156796 0.95603293 0.95203719 0.94928918
 0.94683295 0.95183375 0.94784241 0.95372216]",0.9521639687937331,"('lon', 'year', 'month', ('temp',))",0.0024235090846649833,0.0032630494493569185,0.0010876831497856395
5,"(0, 1, 2, 3, 5)","[0.9572597  0.95684431 0.95228681 0.95646502 0.952536   0.94984641
 0.94713164 0.95225299 0.94834282 0.95479077]",0.9527756477830891,"('lon', 'lat', 'year', 'month', ('temp',))",0.0025185290699850627,0.0033909858011281968,0.0011303286003760656
6,"(0, 1, 2, 3, 4, 5)","[0.95759636 0.95715255 0.95238528 0.95688089 0.95300438 0.95016151
 0.94724329 0.95274493 0.94884467 0.95540861]",0.9531422448055131,"('lon', 'lat', 'year', 'month', ('prec',), ('temp',))",0.0025506220989713604,0.0034341963429101808,0.0011447321143033937
