,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)","[0.94626662 0.94293619 0.94095584 0.95251466 0.94823739 0.94860727
 0.95122272 0.94758358 0.94412262 0.94039163]",0.9462838521066533,"(('temp',),)",0.0029061198422269405,0.003912843905123922,0.001304281301707974
2,"(3, 5)","[0.94862468 0.94937414 0.94632308 0.95594093 0.95317305 0.95363819
 0.95569965 0.95244592 0.94876711 0.94365709]",0.9507643836830134,"('month', ('temp',))",0.002864797783051157,0.0038572072568880955,0.0012857357522960318
3,"(0, 3, 5)","[0.95038519 0.95084051 0.9480394  0.95642377 0.9540289  0.95432663
 0.95639026 0.95304086 0.95053403 0.9450964 ]",0.9519105952351982,"('lon', 'month', ('temp',))",0.0025601999364283493,0.003447092088768042,0.001149030696256014
4,"(0, 2, 3, 5)","[0.95172358 0.95129783 0.9488724  0.95695823 0.95508111 0.95504325
 0.95743902 0.95351129 0.95152401 0.94590833]",0.9527359058008196,"('lon', 'year', 'month', ('temp',))",0.0025456361591874315,0.0034274831978390844,0.0011424943992796948
5,"(0, 1, 2, 3, 5)","[0.95265697 0.95225557 0.94982804 0.95771808 0.95517895 0.95530321
 0.95815246 0.95433868 0.95223159 0.94667125]",0.9534334794330475,"('lon', 'lat', 'year', 'month', ('temp',))",0.0024649842865043675,0.003318892291201548,0.001106297430400516
6,"(0, 1, 2, 3, 4, 5)","[0.95306215 0.95219893 0.95015509 0.95788884 0.95547378 0.95562274
 0.95845172 0.95487228 0.95285581 0.94684929]",0.9537430640078703,"('lon', 'lat', 'year', 'month', ('prec',), ('temp',))",0.0024766505241467962,0.0033345998907959016,0.0011115332969319671
