,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)","[0.94120425 0.94723278 0.9445299  0.94947699 0.94316603 0.94637925
 0.94901793 0.94439256 0.94656669 0.9439488 ]",0.9455915173105474,"(('temp',),)",0.0018418169772477138,0.0024798503589084616,0.0008266167863028207
2,"(3, 5)","[0.94688646 0.9527084  0.94939759 0.95364115 0.94735394 0.95049179
 0.95130423 0.94935618 0.94970674 0.9500984 ]",0.9500944883307287,"('month', ('temp',))",0.001485720162958811,0.0020003961983544147,0.0006667987327848049
3,"(0, 3, 5)","[0.94813225 0.95417883 0.95009961 0.95529077 0.94850894 0.95161973
 0.9522848  0.95005372 0.95105265 0.95089349]",0.9512114773798027,"('lon', 'month', ('temp',))",0.0015973144455553386,0.002150648435774155,0.0007168828119247182
4,"(0, 2, 3, 5)","[0.94878793 0.95550894 0.95076835 0.95602811 0.94962302 0.95240816
 0.9526181  0.95064307 0.95193872 0.95152243]",0.9519846821377873,"('lon', 'year', 'month', ('temp',))",0.001638048536159431,0.0022054934341926825,0.0007351644780642274
5,"(0, 1, 2, 3, 5)","[0.950158   0.9558272  0.95137929 0.95650258 0.95058454 0.95340877
 0.9531946  0.9512284  0.95297371 0.95183585]",0.9527092945545009,"('lon', 'lat', 'year', 'month', ('temp',))",0.0014975124412567595,0.0020162735010021597,0.0006720911670007198
6,"(0, 1, 2, 3, 4, 5)","[0.95024803 0.9559063  0.95148127 0.95694416 0.95094718 0.95368521
 0.95359986 0.95160964 0.95328577 0.95220247]",0.9529909888898145,"('lon', 'lat', 'year', 'month', ('prec',), ('temp',))",0.0015144111206755854,0.0020390261396951073,0.000679675379898369
