,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)","[0.94792525 0.95102521 0.94244948 0.94584831 0.94558394 0.94294006
 0.94344054 0.94661276 0.94826824 0.94389195]",0.9457985743153563,"(('temp',),)",0.0019258213875742586,0.002592955173160675,0.0008643183910535584
2,"(3, 5)","[0.95137247 0.95440841 0.94778465 0.95194637 0.94920517 0.94692036
 0.94800648 0.95326162 0.95124443 0.947866  ]",0.95020159340598,"('month', ('temp',))",0.0018258995416028723,0.002458418881739787,0.000819472960579929
3,"(0, 3, 5)","[0.95269651 0.95564312 0.94893096 0.95293992 0.95129572 0.94847095
 0.94922727 0.95444512 0.95232634 0.94856213]",0.9514538044773383,"('lon', 'month', ('temp',))",0.0018134805575821115,0.0024416977729859826,0.0008138992576619942
4,"(0, 2, 3, 5)","[0.95353481 0.95629327 0.94933834 0.9540475  0.95174981 0.9495024
 0.94984912 0.95455854 0.95334266 0.94940339]",0.9521619846195406,"('lon', 'year', 'month', ('temp',))",0.0017859162616667393,0.0024045847862108577,0.000801528262070286
5,"(0, 1, 2, 3, 5)","[0.95459992 0.95663746 0.95006209 0.9544883  0.95241786 0.95017479
 0.9506237  0.95540959 0.95410717 0.95028203]",0.952880290770759,"('lon', 'lat', 'year', 'month', ('temp',))",0.0017399262172132046,0.002342663091681394,0.0007808876972271311
6,"(0, 1, 2, 3, 4, 5)","[0.9548611  0.95708337 0.95059615 0.95486113 0.95281646 0.95042047
 0.951153   0.95547636 0.95440392 0.95047233]",0.9532144298605862,"('lon', 'lat', 'year', 'month', ('prec',), ('temp',))",0.001718086663197775,0.0023132579843701912,0.0007710859947900637
