,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)","[0.95085952 0.94394812 0.94605669 0.94068711 0.95094902 0.93654752
 0.94961582 0.9430907  0.94442711 0.95162322]",0.9457804834700736,"(('temp',),)",0.0035233747833309866,0.004743925335116094,0.001581308445038698
2,"(3, 5)","[0.95498978 0.94809964 0.95290906 0.94810112 0.95518016 0.94021765
 0.95211607 0.94709491 0.94770032 0.95503517]",0.9501443883850087,"('month', ('temp',))",0.0033746994228476684,0.004543746571096691,0.0015145821903655634
3,"(0, 3, 5)","[0.9561252  0.94943106 0.95305665 0.94795517 0.95672645 0.94221583
 0.95432023 0.94847084 0.94879773 0.95621579]",0.9513314946071351,"('lon', 'month', ('temp',))",0.0033261611788198025,0.004478393941948294,0.0014927979806494314
4,"(0, 2, 3, 5)","[0.95718269 0.95030525 0.95391228 0.94875022 0.95751445 0.94333439
 0.95492559 0.94920282 0.94931932 0.9571367 ]",0.9521583720402166,"('lon', 'year', 'month', ('temp',))",0.0033145024005636725,0.0044626963857849755,0.0014875654619283254
5,"(0, 1, 2, 3, 5)","[0.95783698 0.951022   0.95442725 0.94922178 0.95816994 0.94431258
 0.9558596  0.95066112 0.94987437 0.95676488]",0.9528150501977318,"('lon', 'lat', 'year', 'month', ('temp',))",0.003177820132166052,0.0042786653031478905,0.0014262217677159634
6,"(0, 1, 2, 3, 4, 5)","[0.95816765 0.95154284 0.95464286 0.94910359 0.95844695 0.94510978
 0.9560617  0.95106805 0.95034576 0.95704608]",0.9531535259781659,"('lon', 'lat', 'year', 'month', ('prec',), ('temp',))",0.0031062825429734177,0.004182346006265364,0.0013941153354217878
