,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)","[0.94383589 0.94887867 0.93433326 0.95025845 0.93867498 0.94432461
 0.9441655  0.94977386 0.94634597 0.94642696]",0.9447018148508739,"(('temp',),)",0.0035209338797203647,0.004740638865412733,0.0015802129551375774
2,"(3, 5)","[0.94922581 0.95323146 0.93896792 0.95537863 0.9446247  0.94723202
 0.94817733 0.95421668 0.95122141 0.95043356]",0.9492709529494192,"('month', ('temp',))",0.00344942706831586,0.004644361008211717,0.0015481203360705725
3,"(0, 3, 5)","[0.95037096 0.95368558 0.94051812 0.95640908 0.9455865  0.94894441
 0.94904378 0.95508892 0.95311434 0.9517835 ]",0.9504545197418123,"('lon', 'month', ('temp',))",0.003345689783713152,0.004504687552253766,0.001501562517417922
4,"(0, 2, 3, 5)","[0.95063437 0.95451949 0.94168198 0.95740078 0.94620876 0.94987548
 0.94954349 0.95565159 0.95414818 0.95275396]",0.9512418066133075,"('lon', 'year', 'month', ('temp',))",0.0033273041019891082,0.004479932791066648,0.0014933109303555494
5,"(0, 1, 2, 3, 5)","[0.95103786 0.95487274 0.94312363 0.95759171 0.94686591 0.95089217
 0.9506182  0.95609415 0.95470774 0.95357437]",0.9519378459197814,"('lon', 'lat', 'year', 'month', ('temp',))",0.0031093420596548867,0.004186465386005236,0.0013954884620017453
6,"(0, 1, 2, 3, 4, 5)","[0.95134421 0.95517399 0.94342388 0.95787244 0.94713803 0.95134556
 0.95130406 0.95636431 0.95490451 0.95388595]",0.9522756928082602,"('lon', 'lat', 'year', 'month', ('prec',), ('temp',))",0.0030924978216482356,0.004163786048056711,0.00138792868268557
