,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(5,)","[0.94266981 0.94272398 0.94474157 0.94314354 0.94664034 0.94435022
 0.94748034 0.94483054 0.94786558 0.94277988]",0.9447225793944387,"(('temp',),)",0.0014050405645083708,0.0018917679613224753,0.0006305893204408251
2,"(3, 5)","[0.94928127 0.94549447 0.94805197 0.94845564 0.95179253 0.94915463
 0.95343791 0.94957702 0.95200738 0.94845164]",0.9495704447099669,"('month', ('temp',))",0.0016187754029486372,0.0021795437948417093,0.0007265145982805698
3,"(0, 3, 5)","[0.95081616 0.9467868  0.94955552 0.94961911 0.95240002 0.95041907
 0.95387452 0.95075388 0.95318973 0.94923751]",0.9506652315590454,"('lon', 'month', ('temp',))",0.0014701165339602474,0.0019793872352216147,0.0006597957450738715
4,"(0, 1, 3, 5)","[0.95166321 0.94779487 0.95088482 0.95027563 0.95330381 0.95106249
 0.95415542 0.95141637 0.95357687 0.95021795]",0.9514351443532589,"('lon', 'lat', 'month', ('temp',))",0.0013296540114324962,0.0017902663609943902,0.0005967554536647967
5,"(0, 1, 2, 3, 5)","[0.95202746 0.94884064 0.95158418 0.95099273 0.95488504 0.95183181
 0.95462077 0.95266974 0.95421969 0.9509217 ]",0.9522593763444833,"('lon', 'lat', 'year', 'month', ('temp',))",0.0013338972127788851,0.0017959794717495575,0.0005986598239165191
6,"(0, 1, 2, 3, 4, 5)","[0.95214742 0.94925048 0.95175453 0.9513715  0.95525621 0.95206005
 0.9549373  0.95330854 0.95408329 0.95127752]",0.9525446823388307,"('lon', 'lat', 'year', 'month', ('prec',), ('temp',))",0.0013051192712098159,0.0017572324140286834,0.000585744138009561
